County,Days_on_Market,Days_On_Market_Growth_YoY,Avg_Home_Value,Home_Value_Growth_YoY,Inventory_Surplus_Deficit,Population,Sale_Inventory_Growth_YoY,Sale_Inventory_Growth_MoM,Home_Sales_Growth_YoY,Price_Cut_Percentage,Population_Growth,Cap_Rate,Home_Price_Forecast,Vacancy_Rate,Median_Age,Housing_Unit_Growth_Rate
"Allen, IN",38.0,34.5,248456.0,3.9,50.3,394545.0,40.8,7.1,,28.0,5.1,5.5,40.0,4.7,36.5,5.5
"Allen, KS",71.0,,103760.0,2.8,,12491.0,7.6,2.9,,32.6,,,49.0,17.4,41.3,
"Allen, KY",53.0,,203369.0,6.1,47.6,21029.0,34.8,8.3,11.1,15.5,1.1,6.1,42.0,15.2,40.7,
"Allen, LA",107.0,6.4,126112.0,4.4,19.2,22552.0,,,0.0,10.2,,,41.0,19.7,38.9,
"Allen, OH",26.0,,174696.0,4.3,19.4,100838.0,94.3,42.5,22.3,20.4,,7.1,51.0,6.1,40.1,
"Allendale, SC",99.0,78.3,66608.0,,28.0,7738.0,20.0,0.0,,28.5,,,34.0,21.9,42.5,
"Alpena, MI",,,,,,,9.0,25.3,,12.3,1.0,,62.0,18.7,47.6,
"Alpine, CA",,,,,,,,1.3,100.0,17.7,47.9,2.6,51.0,70.1,41.1,
"Amador, CA",,,,,,,32.4,19.9,,30.6,8.4,5.5,41.0,15.0,49.9,3.5
"Amelia, VA",43.0,,319707.0,9.4,,13342.0,10.6,13.0,36.3,16.3,3.7,3.9,56.0,8.4,44.8,4.0
"Amherst, VA",50.0,78.5,253880.0,3.4,,31385.0,13.7,,,20.6,,5.4,55.0,11.1,43.3,0.9
"Amite, MS",92.0,,152977.0,5.6,,12611.0,,,33.3,0.0,1.1,,56.0,19.5,48.8,8.2
"Anderson, KS",80.0,91.5,174475.0,5.3,,7819.0,31.4,2.2,200.0,35.2,,,50.0,7.9,40.4,
"Anderson, KY",52.0,103.9,255330.0,11.1,29.5,24098.0,31.6,10.6,83.3,26.3,8.4,3.7,49.0,6.8,42.1,8.8
"Anderson, SC",45.0,23.2,282971.0,2.2,28.7,213076.0,41.4,10.5,,29.2,6.2,5.9,46.0,7.4,40.0,5.4
"Anderson, TN",46.0,,300067.0,4.3,52.2,80234.0,79.0,11.3,5.8,32.7,4.9,5.6,44.0,7.4,41.6,3.4
"Anderson, TX",67.0,0.3,205715.0,,56.5,57825.0,13.5,3.8,,27.4,,6.9,35.0,16.2,39.5,0.5
"Andrew, MO",49.0,,284692.0,8.2,7.5,18086.0,72.9,4.9,,24.2,3.9,3.4,50.0,7.6,42.1,3.1
"Andrews, TX",37.0,,248191.0,5.3,,18518.0,,,36.3,35.0,3.9,,57.0,4.0,33.1,13.7
"Androscoggin, ME",,,,,,,22.6,33.7,,25.8,5.6,4.6,58.0,5.0,40.7,1.5
"Angelina, TX",61.0,9.4,200188.0,0.5,64.6,87319.0,28.7,3.6,4.4,23.2,0.2,7.6,35.0,14.1,37.6,0.7
"Anne Arundel, MD",24.0,,509634.0,2.5,,594582.0,86.1,17.7,,20.4,3.2,5.0,56.0,4.7,39.6,5.0
"Anoka, MN",,,,,,,11.7,9.7,,16.4,5.2,4.2,48.0,3.5,39.0,8.1
"Anson, NC",79.0,84.7,131186.0,,31.6,21903.0,23.2,,,23.5,,8.7,40.0,16.2,42.4,
"Antelope, NE",47.0,,202633.0,2.1,,6302.0,,14.2,100.0,0.0,,,52.0,14.5,42.7,
"Antrim, MI",,,,,,,31.3,42.7,,23.2,3.0,,55.0,37.3,51.8,
"Apache, AZ",85.0,7.5,300276.0,,23.9,65036.0,10.7,20.1,13.3,17.0,,,44.0,17.7,38.8,
"Appanoose, IA",60.0,,106047.0,1.6,52.9,12242.0,85.1,22.7,0.0,30.5,,,41.0,20.7,45.5,
"Appling, GA",87.0,,158836.0,1.4,27.8,18426.0,,18.1,,27.9,,,45.0,17.4,39.9,
"Appomattox, VA",52.0,0.0,274991.0,2.1,,16424.0,20.0,,0.0,21.6,5.4,5.2,50.0,11.0,43.3,1.5
"Aransas, TX",75.0,,311937.0,,87.9,24449.0,32.8,,17.5,23.4,,3.7,30.0,25.6,51.0,
"Arapahoe, CO",37.0,23.3,546539.0,,116.8,656061.0,68.8,19.3,11.7,39.9,0.7,4.0,22.0,4.0,37.4,7.0
"Archer, TX",56.0,,232412.0,,,8734.0,,,42.8,13.7,,3.8,46.0,12.2,43.1,
"Archuleta, CO",64.0,9.4,577525.0,3.3,23.2,13730.0,19.9,17.7,19.0,21.7,6.3,3.7,44.0,39.1,52.2,5.2
"Arenac, MI",,,,,,,26.8,25.3,,24.6,,,59.0,32.6,50.1,
"Arkansas, AR",89.0,,122976.0,3.0,18.3,16773.0,,,25.0,9.3,,,46.0,24.2,41.0,
"Arlington, VA",28.0,,847403.0,3.4,31.3,234162.0,88.3,11.9,,25.4,,3.1,45.0,7.9,35.7,6.3
"Armstrong, PA",54.0,40.2,150470.0,0.7,,64074.0,,13.2,,27.6,,7.2,57.0,12.6,46.8,
"Armstrong, TX",64.0,45.4,237062.0,0.9,52.3,1883.0,100.0,,0.0,40.0,,5.7,35.0,15.0,43.0,
"Aroostook, ME",,,,,,,11.3,12.2,7.8,26.8,0.3,,55.0,15.2,47.5,
"Ascension, LA",62.0,8.8,303279.0,2.0,13.9,131632.0,30.2,6.2,,21.9,5.5,5.5,44.0,8.5,37.3,9.0
"Ashe, NC",47.0,9.9,349422.0,,,26831.0,21.9,35.6,,21.7,0.1,,57.0,29.8,49.8,
"Ashland, OH",25.0,49.2,226616.0,6.0,,52296.0,34.8,26.0,0.0,23.9,,3.9,57.0,8.2,41.4,1.2
"Ashland, WI",,,,,,,25.0,33.3,,23.1,2.1,,56.0,27.1,43.1,
"Ashley, AR",71.0,11.4,80582.0,,,18722.0,,3.3,80.0,19.0,,,47.0,23.4,42.7,
"Ashtabula, OH",42.0,26.3,168506.0,7.7,,96845.0,29.0,16.5,27.2,25.3,,6.3,56.0,19.5,43.3,0.8
"Asotin, WA",,,,,,,29.2,0.0,,30.7,0.3,3.5,41.0,7.1,45.5,1.4
"Assumption, LA",53.0,,169918.0,1.2,16.5,20720.0,12.5,22.0,,17.3,,6.9,47.0,16.1,42.0,
"Atascosa, TX",66.0,22.2,246554.0,,84.5,50058.0,14.6,10.8,22.2,27.7,2.5,4.1,29.0,12.4,36.1,4.1
"Atchison, KS",54.0,16.7,168826.0,5.0,,16211.0,12.2,8.4,,15.0,,7.4,51.0,13.7,36.4,
"Atchison, MO",36.0,,134956.0,5.1,,5216.0,20.0,,200.0,0.0,,,63.0,15.8,47.7,
"Athens, OH",44.0,28.4,176111.0,5.1,,61573.0,40.2,0.0,,23.7,,6.3,57.0,14.1,32.8,
"Atkinson, GA",45.0,,104245.0,,0.0,8261.0,,14.2,0.0,80.0,,,44.0,9.1,36.2,0.0
"Atlantic, NJ",,,,,,,30.2,3.6,,18.2,3.6,5.3,57.0,15.9,42.6,2.9
"Atoka, OK",55.0,,209800.0,8.2,23.8,14255.0,,,100.0,11.1,2.7,,45.0,19.0,40.2,
"Attala, MS",89.0,21.2,118106.0,1.7,,17685.0,,6.1,100.0,12.9,,,44.0,22.4,39.6,
"Audrain, MO",41.0,,167905.0,5.1,,24688.0,,8.8,,18.4,,,54.0,14.9,40.3,
"Audubon, IA",98.0,,153651.0,6.4,92.9,5622.0,58.1,7.9,33.3,9.3,,,36.0,9.3,47.4,
"Auglaize, OH",43.0,11.6,225432.0,5.9,,46209.0,1.1,0.0,,17.3,0.9,5.2,59.0,5.4,40.6,0.9
"Augusta, VA",42.0,1.8,349895.0,4.7,,78247.0,25.0,4.8,21.2,16.2,3.6,4.6,55.0,3.5,45.3,1.8
"Austin, TX",52.0,,424975.0,2.7,51.1,30712.0,32.4,10.0,55.1,24.5,3.8,2.5,40.0,13.5,41.6,6.7
"Autauga, AL",37.0,,250578.0,4.0,,59285.0,10.4,9.8,38.4,14.2,7.4,7.9,53.0,8.9,39.2,6.0
"Avery, NC",57.0,5.6,383908.0,0.4,8.8,17643.0,38.5,23.8,,19.5,0.8,,51.0,53.3,46.5,
"Avoyelles, LA",81.0,8.0,126429.0,1.5,0.4,39176.0,,,,22.4,,,44.0,20.6,38.2,0.0
"Bacon, GA",88.0,147.8,133730.0,4.6,6.2,11129.0,,6.2,0.0,20.0,,,49.0,16.9,39.0,0.8
"Bailey, TX",38.0,,146465.0,3.0,9.0,7044.0,9.0,26.3,100.0,0.0,,,54.0,19.2,35.1,9.4
"Baker, FL",58.0,8.9,311771.0,1.0,64.7,28186.0,31.6,0.0,,37.3,1.4,3.8,32.0,9.9,38.1,1.1
"Baker, GA",202.0,,125806.0,,,2830.0,100.0,0.0,0.0,0.0,,,49.0,21.4,48.1,
"Baker, OR",,,,,,,23.4,8.7,14.2,21.0,5.0,,37.0,16.3,47.6,
"Baldwin, AL",68.0,3.8,385568.0,0.2,48.4,253507.0,24.2,4.4,12.6,22.4,16.2,5.0,37.0,22.0,44.3,16.3
"Baldwin, GA",69.0,63.1,205511.0,1.4,11.2,43669.0,27.4,1.0,13.0,27.2,,6.9,46.0,20.3,36.4,
"Ballard, KY",36.0,,141668.0,9.7,,7678.0,,,150.0,26.6,,10.4,62.0,15.8,44.2,
"Baltimore, MD",44.0,7.3,184072.0,0.3,2.9,565239.0,17.6,1.8,,24.3,,8.6,48.0,11.8,36.5,0.2
"Baltimore, MD",44.0,7.3,184072.0,0.3,2.9,565239.0,17.6,1.8,,24.3,,8.6,53.0,5.4,39.8,3.9
"Baltimore, MD",44.0,7.3,184072.0,0.3,2.9,565239.0,51.1,5.3,0.9,22.1,1.9,5.6,48.0,11.8,36.5,0.2
"Baltimore, MD",44.0,7.3,184072.0,0.3,2.9,565239.0,51.1,5.3,0.9,22.1,1.9,5.6,53.0,5.4,39.8,3.9
"Baltimore, MD",26.0,,360114.0,2.4,,844703.0,17.6,1.8,,24.3,,8.6,48.0,11.8,36.5,0.2
"Baltimore, MD",26.0,,360114.0,2.4,,844703.0,17.6,1.8,,24.3,,8.6,53.0,5.4,39.8,3.9
"Baltimore, MD",26.0,,360114.0,2.4,,844703.0,51.1,5.3,0.9,22.1,1.9,5.6,48.0,11.8,36.5,0.2
"Baltimore, MD",26.0,,360114.0,2.4,,844703.0,51.1,5.3,0.9,22.1,1.9,5.6,53.0,5.4,39.8,3.9
"Bamberg, SC",37.0,,129349.0,,,13164.0,,28.5,400.0,0.0,,,55.0,30.4,41.7,
"Bandera, TX",79.0,,355482.0,0.1,68.0,21589.0,39.2,6.0,10.5,22.2,,2.8,33.0,22.2,53.4,
"Banks, GA",38.0,,337959.0,5.4,75.4,18757.0,46.4,23.3,21.0,18.8,1.3,5.4,37.0,7.9,42.4,
"Banner, NE",46.0,,371998.0,14.5,4.3,657.0,,0.0,0.0,0.0,,,54.0,26.4,56.6,
"Bannock, ID",40.0,7.4,354760.0,2.4,68.1,90400.0,17.2,23.8,7.2,24.1,3.7,3.3,35.0,8.1,35.7,6.6
"Baraga, MI",,,,,,,35.2,35.2,0.0,13.3,,,61.0,34.1,46.2,
"Barber, KS",73.0,0.0,81353.0,5.1,,4153.0,,,100.0,33.3,,,52.0,26.6,42.6,
"Barbour, AL",86.0,47.0,149969.0,,,24757.0,25.8,18.4,,16.1,,,49.0,22.4,40.7,
"Barbour, WV",53.0,10.9,118149.0,,,15454.0,,,16.6,36.3,,,56.0,17.6,42.4,
"Barnes, ND",,,,,,,,3.0,,13.3,,3.8,57.0,14.9,42.9,
"Barnstable, MA",,,,,,,40.3,23.6,,22.0,8.5,4.1,54.0,34.4,56.3,1.5
"Barnwell, SC",53.0,16.4,142047.0,,1.7,20565.0,18.0,20.0,,15.6,,,47.0,18.1,40.7,
"Barren, KY",64.0,11.3,205226.0,7.2,40.0,44670.0,53.7,3.4,3.2,23.8,2.2,4.3,42.0,10.6,40.1,2.3
"Barron, WI",,,,,,,,12.3,8.1,18.1,3.2,,55.0,18.1,44.8,
"Barrow, GA",45.0,15.3,352916.0,1.6,42.4,92792.0,32.8,,17.8,21.6,14.8,4.3,36.0,3.2,35.2,15.0
"Barry, MI",36.0,15.2,281123.0,3.9,,62982.0,21.1,19.1,43.1,30.0,4.8,4.8,51.0,11.6,42.0,0.5
"Barry, MO",58.0,4.0,237879.0,6.3,23.9,34831.0,24.2,6.4,,22.4,,,46.0,21.5,43.0,
"Bartholomew, IN",43.0,17.8,269410.0,3.3,19.6,84003.0,38.1,7.0,1.3,27.4,1.5,5.4,47.0,5.8,36.8,3.8
"Barton, KS",60.0,,111875.0,2.0,3.4,25275.0,198.1,17.9,,20.0,,7.1,51.0,17.4,38.8,
"Barton, MO",50.0,26.9,178067.0,4.3,37.1,11685.0,20.0,,,7.6,,,42.0,16.4,40.6,
"Bartow, GA",45.0,1.1,323070.0,0.7,34.9,115041.0,34.4,7.5,,29.8,8.1,5.3,42.0,9.9,38.9,12.9
"Bastrop, TX",60.0,6.1,374220.0,,91.4,110778.0,26.2,12.4,,23.6,27.3,4.1,29.0,6.8,37.6,37.2
"Bates, MO",75.0,53.8,219646.0,6.3,64.4,16121.0,63.8,0.8,60.0,27.5,,4.7,40.0,16.9,40.8,
"Bath, KY",51.0,,176043.0,10.0,109.3,12812.0,65.9,2.6,,25.0,4.4,,36.0,13.4,39.0,0.3
"Bath, VA",75.0,,210492.0,2.2,1.5,4123.0,94.1,20.0,200.0,23.5,,,48.0,46.6,52.3,1.0
"Baxter, AR",67.0,17.5,233014.0,3.2,28.8,42150.0,32.6,6.5,,28.2,2.2,,46.0,15.5,51.9,
"Bay, FL",79.0,6.7,349487.0,,71.9,190769.0,19.5,5.7,,26.6,2.9,5.6,29.0,27.2,41.4,6.2
"Bay, MI",26.0,,173165.0,3.4,,102500.0,8.4,6.2,2.1,19.4,,7.8,55.0,8.7,44.4,0.7
"Bayfield, WI",,,,,,,13.4,2.5,0.0,18.0,9.4,,57.0,43.8,54.1,
"Baylor, TX",81.0,,122080.0,6.5,80.1,3464.0,19.0,,0.0,12.5,,,33.0,28.6,47.5,
"Beadle, SD",,,,,,,10.1,,,24.4,4.9,,53.0,11.4,36.9,
"Bear Lake, ID",72.0,,394309.0,1.2,34.9,6552.0,9.2,16.3,20.0,15.3,9.8,,46.0,41.4,40.2,
"Beaufort, NC",62.0,28.7,238430.0,5.5,18.6,44597.0,89.1,14.6,,24.1,,5.5,49.0,21.6,47.1,
"Beaufort, SC",61.0,18.4,544103.0,1.1,12.6,198979.0,33.7,3.2,,29.9,5.4,4.8,45.0,17.4,48.1,4.2
"Beauregard, LA",80.0,22.6,165906.0,6.4,15.8,36646.0,,,,18.7,,9.8,45.0,14.2,36.9,2.6
"Beaver, OK",104.0,149.4,143668.0,,56.5,5041.0,12.5,0.0,200.0,25.0,,,32.0,31.2,41.1,
"Beaver, PA",43.0,,185488.0,0.7,,165631.0,15.3,16.2,,20.7,0.5,6.6,52.0,7.8,44.8,
"Beaver, UT",75.0,3.8,293741.0,1.5,26.0,7172.0,18.4,18.4,366.6,5.7,11.3,,47.0,18.5,34.4,
"Beaverhead, MT",,,,,,,24.7,2.9,,11.5,2.0,,45.0,17.1,43.4,
"Becker, MN",,,,,,,29.3,30.4,,28.9,4.4,,51.0,27.5,43.2,1.6
"Beckham, OK",66.0,,142551.0,6.2,,22202.0,37.7,3.3,,14.7,,,55.0,19.0,37.1,0.9
"Bedford, PA",71.0,78.6,201989.0,4.9,,47503.0,,,9.5,33.6,,,52.0,16.1,47.5,
"Bedford, TN",80.0,131.8,329788.0,2.7,73.2,51291.0,54.6,,,22.1,7.8,6.4,28.0,5.8,37.6,6.3
"Bedford, VA",43.0,1.1,337701.0,3.1,,81525.0,31.2,2.9,,23.5,3.5,4.5,52.0,11.6,47.0,1.5
"Bee, TX",65.0,,167799.0,0.9,25.9,31000.0,5.2,,,27.3,,,42.0,19.1,35.8,
"Belknap, NH",,,,,,,24.8,26.8,7.1,26.2,7.2,3.7,54.0,31.0,49.4,2.7
"Bell, KY",87.0,11.2,101039.0,4.2,,23878.0,12.0,,,28.9,,,49.0,17.9,41.2,
"Bell, TX",61.0,19.6,256118.0,,102.0,393193.0,25.4,7.4,,25.5,10.5,5.3,27.0,8.1,32.5,11.4
"Belmont, OH",52.0,,128361.0,2.9,,64918.0,8.7,,7.3,30.1,,6.8,51.0,13.4,44.8,
"Beltrami, MN",,,,,,,44.6,21.1,,10.8,0.6,6.3,44.0,17.0,35.1,0.8
"Ben Hill, GA",60.0,17.6,115966.0,0.5,22.4,17138.0,73.0,8.4,,32.0,,,46.0,11.9,38.5,1.9
"Benewah, ID",,,,,,,,16.4,44.4,33.3,9.1,,48.0,15.4,46.0,0.0
"Bennington, VT",,,,,,,37.1,9.7,,7.3,3.8,,58.0,29.8,46.6,
"Benson, ND",,,,,,,150.0,11.1,,0.0,,,46.0,24.4,32.4,
"Bent, CO",79.0,,128393.0,,112.5,5524.0,88.8,,25.0,0.0,,,29.0,13.3,41.7,
"Benton, AR",46.0,,379780.0,4.0,33.7,311013.0,20.9,7.7,2.3,20.8,14.0,5.4,44.0,7.7,35.9,17.4
"Benton, IA",52.0,14.2,263688.0,4.7,22.2,25698.0,7.5,4.2,,19.2,0.2,3.4,44.0,8.8,43.3,
"Benton, IN",41.0,29.5,188499.0,6.9,48.1,8708.0,90.4,0.0,22.2,20.0,0.4,6.3,45.0,8.1,40.3,
"Benton, MN",,,,,,,32.6,26.6,,26.0,4.2,3.9,50.0,5.6,36.7,3.4
"Benton, MO",52.0,,182294.0,7.4,17.9,19887.0,36.6,13.9,,28.7,4.7,,49.0,39.8,54.4,
"Benton, MS",47.0,,141317.0,9.4,30.4,7592.0,36.3,0.0,0.0,48.0,,7.2,47.0,26.1,43.9,
"Benton, OR",,,,,,,12.0,13.3,,26.2,6.0,3.7,46.0,7.1,34.7,7.2
"Benton, TN",66.0,7.3,170990.0,,6.8,15948.0,1.5,,,22.9,,,43.0,18.9,47.5,
"Benton, WA",,,,,,,23.0,10.9,2.7,26.8,6.6,4.0,37.0,6.7,36.2,9.1
"Benzie, MI",,,,,,,20.0,38.4,52.9,15.3,3.5,3.9,63.0,38.9,50.6,
"Bergen, NJ",,,,,,,5.5,18.4,,13.3,2.2,4.3,62.0,3.7,42.2,3.1
"Berkeley, SC",44.0,11.3,373687.0,0.7,33.9,255217.0,21.1,3.9,,34.6,15.4,6.4,39.0,6.0,36.6,20.9
"Berkeley, WV",32.0,20.7,311289.0,4.2,,132440.0,27.1,10.8,1.7,17.3,13.0,6.4,53.0,7.4,38.4,11.6
"Berks, PA",21.0,,300440.0,5.5,,432821.0,28.6,16.9,5.2,13.5,3.0,4.6,62.0,5.0,39.5,2.7
"Berkshire, MA",,,,,,,50.2,28.8,,17.5,0.3,4.5,57.0,16.0,48.4,0.9
"Bernalillo, NM",54.0,25.5,345904.0,2.7,11.3,671586.0,38.1,7.4,,30.1,,5.0,46.0,6.1,39.8,3.1
"Berrien, GA",44.0,,181708.0,5.5,14.2,18257.0,,15.0,,19.3,,,48.0,14.6,39.8,
"Berrien, MI",44.0,9.3,262626.0,1.1,,152261.0,21.6,16.6,,20.3,,5.2,52.0,15.9,43.0,
"Bertie, NC",101.0,34.9,60468.0,,20.0,17482.0,24.1,,,23.0,,,40.0,21.8,45.9,
"Bexar, TX",55.0,14.5,264971.0,,62.3,2087679.0,20.5,6.9,,30.8,5.1,5.2,31.0,9.3,35.0,19.4
"Bibb, AL",50.0,,214983.0,2.0,30.1,22152.0,9.6,41.6,,26.0,,5.5,48.0,16.7,41.3,
"Bibb, GA",65.0,17.1,166248.0,0.3,28.6,156512.0,23.9,0.7,,20.7,2.2,8.4,40.0,15.3,36.3,2.7
"Bienville, LA",73.0,6.9,107502.0,2.1,,12769.0,30.7,0.0,133.3,13.7,,,50.0,21.0,42.5,
"Big Horn, MT",,,,,,,90.9,7.6,,0.0,,,52.0,18.5,32.3,
"Big Horn, WY",,,,,,,,18.5,,9.7,,,56.0,18.8,41.5,
"Big Stone, MN",,,,,,,142.8,30.7,,0.0,2.7,,53.0,26.9,47.4,
"Bingham, ID",42.0,,373849.0,4.0,94.0,48993.0,82.5,26.9,,29.1,7.5,3.0,31.0,7.2,34.8,3.9
"Black Hawk, IA",44.0,,186366.0,4.7,,130471.0,41.6,11.4,,16.1,,6.1,53.0,8.8,36.1,1.2
"Blackford, IN",49.0,,129131.0,7.5,40.0,12007.0,117.1,22.5,,50.0,,,50.0,13.6,44.0,
"Bladen, NC",72.0,11.2,151633.0,0.5,,29591.0,18.6,,54.5,21.6,,,47.0,23.8,44.8,
"Blaine, ID",71.0,,968313.0,1.9,,24579.0,,,10.8,5.6,11.7,4.0,53.0,37.7,45.5,2.6
"Blaine, MT",,,,,,,216.6,0.0,100.0,21.0,4.0,,45.0,18.6,33.9,
"Blaine, OK",57.0,,102638.0,,8.8,8603.0,,8.1,,12.1,,,45.0,26.0,41.6,
"Blair, PA",50.0,17.6,171476.0,4.7,,120273.0,21.6,4.9,,45.4,,5.5,52.0,9.4,43.7,
"Blanco, TX",72.0,,611171.0,,92.0,12008.0,27.5,10.1,9.0,19.3,6.4,1.8,29.0,18.0,50.3,5.3
"Bland, VA",106.0,20.9,162821.0,2.4,,6211.0,6.6,3.2,33.3,20.0,,,50.0,26.8,47.1,
"Bleckley, GA",52.0,18.8,165795.0,4.1,47.8,12414.0,,29.4,233.3,14.2,,,48.0,18.1,37.4,
"Bledsoe, TN",56.0,17.2,225422.0,3.9,31.9,14905.0,51.6,0.0,,34.2,2.0,,43.0,18.3,44.9,1.9
"Blount, AL",56.0,25.1,234208.0,3.0,35.0,59292.0,33.3,8.1,,25.3,2.8,4.6,43.0,11.3,40.9,2.3
"Blount, TN",52.0,22.3,380882.0,3.2,50.4,141456.0,49.1,,3.6,31.5,7.6,5.6,39.0,10.3,43.8,7.4
"Blue Earth, MN",43.0,,298450.0,3.9,,70006.0,20.0,12.6,,15.6,3.8,4.9,54.0,10.4,31.1,4.7
"Boise, ID",,,,,,,40.5,38.2,100.0,25.1,12.3,2.3,34.0,36.9,53.5,1.9
