"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Lewis, ID","50","15.1%","-","34.7%","48.9","-4.9%"
"Lewis, WA","35","9.1%","47","28.1%","42.6","4.8%"
"Yamhill, OR","39","3.4%","44","34.3%","39.3","6.1%"
"Lincoln, ID","54","6.9%","-","0.0%","37.2","-1.2%"
"Lincoln, WA","42","20.2%","-","26.6%","46.9","-2.6%"
"Lincoln, MT","41","19.4%","-","20.8%","52.6","-5.6%"
"Lincoln, OR","39","29.4%","-","30.3%","52.5","3.3%"
"Douglas, WA","42","11.3%","63","28.7%","38.4","5.4%"
"Douglas, OR","41","6.3%","37","41.1%","46.7","0.7%"
"Jackson, OR","43","6.7%","53","27.6%","42.5","2.7%"
"Coos, OR","42","10.3%","-","31.9%","48.6","2.3%"
"Curry, OR","46","14.0%","-","33.6%","57.2","1.6%"
"Price, WI","59","39.1%","-","11.4%","52.5","-1.6%"
"Anoka, MN","48","3.5%","42","16.4%","39.0","8.1%"
"Carver, MN","48","2.1%","52","18.0%","40.3","11.2%"
"Morrison, MN","55","14.4%","-","19.0%","42.2","0.5%"
"Clayton, IA","57","15.7%","-","24.6%","46.4","-3.3%"
"Marion, IA","44","6.0%","-","21.8%","39.7","0.7%"
"Cerro Gordo, IA","45","14.5%","-","18.7%","43.9","1.7%"
"Waseca, MN","55","5.1%","-","27.5%","40.4","-0.4%"
"Blue Earth, MN","54","10.4%","46","15.6%","31.1","4.7%"
"Webster, IA","48","8.2%","-","20.7%","39.8","0.0%"
"Humboldt, IA","38","7.9%","-","15.3%","41.8","-2.7%"
"Greene, IA","34","8.9%","-","7.5%","44.8","-5.1%"
"Martin, MN","54","9.0%","-","10.8%","44.5","-2.4%"
"Pocahontas, IA","31","15.6%","-","11.4%","43.9","-2.8%"
"Palo Alto, IA","43","17.2%","-","7.4%","41.5","-2.2%"
"Red Lake, MN","39","12.4%","-","36.3%","42.8","-2.0%"
"Norman, MN","54","17.1%","-","17.3%","43.9","-6.2%"
"Eddy, ND","59","14.6%","-","0.0%","48.7","0.5%"
"Pope, MN","49","22.2%","-","26.2%","45.6","-2.7%"
"Otter Tail, MN","49","31.3%","-","24.0%","46.3","1.6%"
"Becker, MN","51","27.5%","-","28.9%","43.2","1.6%"
"Lac qui Parle, MN","53","17.0%","-","25.0%","47.7","-5.5%"
"Traverse, MN","48","25.6%","-","0.0%","45.5","-7.8%"
"Spink, SD","59","17.9%","-","0.0%","45.1","-7.7%"
"Stutsman, ND","56","10.5%","43","14.5%","40.6","1.7%"
"Harrison, IA","48","10.1%","58","32.2%","41.9","-1.8%"
"Sarpy, NE","38","4.0%","62","10.3%","36.0","12.5%"
"Moody, SD","54","9.0%","-","0.0%","40.5","-4.1%"
"Butler, IA","52","10.3%","-","17.9%","43.7","-3.0%"
"Butler, NE","28","12.2%","-","34.7%","42.7","-1.0%"
"Nance, NE","52","17.0%","-","0.0%","43.6","-13.1%"
"Antelope, NE","52","14.5%","-","0.0%","42.7","-5.1%"
"Charles Mix, SD","46","17.9%","-","22.2%","36.1","-5.4%"
"Boyd, NE","53","34.6%","-","0.0%","54.9","-14.8%"
"Hamilton, IA","49","10.4%","-","16.4%","42.2","-1.8%"
"Hamilton, NE","35","15.1%","-","27.9%","41.3","0.4%"
"Wells, ND","34","19.6%","-","20.0%","47.9","-8.9%"
"McHenry, ND","60","20.0%","49","0.0%","43.4","-10.3%"
"Keya Paha, NE","46","33.9%","-","0.0%","49.0","-2.9%"
"Cheyenne, NE","49","10.9%","-","23.8%","42.0","-2.4%"
"Bowman, ND","58","24.4%","-","22.2%","42.7","-7.4%"
"Albany, WY","45","11.3%","36","9.6%","28.7","-2.2%"
"Liberty, MT","44","17.6%","-","0.0%","37.5","-25.7%"
"Stillwater, MT","49","16.9%","46","18.4%","47.4","-4.5%"
"Wheatland, MT","41","25.3%","-","44.4%","47.3","-3.1%"
"Gallatin, MT","39","8.9%","53","19.1%","34.6","17.5%"
"Broadwater, MT","41","8.7%","54","21.0%","46.2","15.4%"
"Sweetwater, WY","57","12.2%","29","32.9%","37.4","-2.0%"
"Caribou, ID","38","22.5%","-","25.5%","38.0","-4.5%"
"Morgan, UT","36","5.9%","49","35.0%","32.5","9.7%"
"Gogebic, MI","56","32.3%","-","10.8%","51.3","-3.7%"
"Taylor, WI","49","15.9%","-","21.3%","44.1","-11.4%"
"Pepin, WI","59","15.3%","-","36.3%","46.3","-1.7%"
"Pine, MN","51","30.5%","-","26.0%","45.8","-1.9%"
"Stearns, MN","53","9.5%","52","18.8%","36.0","2.7%"
"Winona, MN","56","6.7%","42","24.0%","36.1","2.8%"
"Fayette, IA","56","12.0%","-","28.2%","43.7","-2.5%"
"Tama, IA","52","11.3%","-","10.5%","41.8","-2.5%"
"Poweshiek, IA","52","12.9%","-","13.6%","40.8","-1.7%"
"Worth, IA","47","8.3%","-","14.2%","44.3","-0.8%"
"Adair, IA","48","9.3%","-","17.3%","42.6","-2.7%"
"Guthrie, IA","52","20.6%","46","22.7%","46.5","-0.0%"
"Shelby, IA","51","8.2%","-","26.0%","45.1","-2.7%"
"Foster, ND","70","14.9%","-","0.0%","43.3","-2.6%"
"Towner, ND","55","24.1%","-","0.0%","50.3","-8.8%"
"Roberts, SD","37","24.1%","-","20.0%","37.9","-4.1%"
"LaMoure, ND","54","17.4%","-","0.0%","46.7","-7.0%"
"Osceola, IA","58","9.1%","-","30.7%","43.5","-3.2%"
"Thurston, NE","29","13.4%","-","0.0%","28.7","-5.9%"
"McCook, SD","40","10.0%","60","27.5%","39.9","-1.2%"
"Merrick, NE","47","10.4%","-","16.6%","42.8","-5.8%"
"Kidder, ND","49","31.6%","-","0.0%","47.8","-0.9%"
"Stanley, SD","48","17.4%","-","0.0%","43.7","6.7%"
"Hooker, NE","42","24.3%","-","0.0%","44.8","-7.1%"
"Sedgwick, CO","36","15.5%","-","22.2%","42.9","-6.1%"
"Roosevelt, MT","37","26.3%","-","0.0%","30.5","-1.5%"
"Crook, WY","47","21.2%","-","23.0%","44.3","0.6%"
"Converse, WY","59","14.0%","-","24.2%","41.3","-0.1%"
"Weld, CO","32","4.0%","58","30.2%","35.4","19.5%"
"Routt, CO","49","37.2%","-","17.1%","42.6","1.3%"
"Toole, MT","57","21.5%","-","36.3%","38.8","-2.2%"
"Yellowstone, MT","42","3.7%","53","25.6%","39.0","4.2%"
"Meagher, MT","61","38.5%","-","0.0%","59.9","5.3%"
"Rich, UT","31","74.6%","-","10.6%","37.2","5.7%"
"Jefferson, IA","42","10.7%","-","12.2%","43.5","1.2%"
"Whiteside, IL","56","10.1%","-","25.0%","43.4","0.0%"
"Vernon, WI","47","12.5%","53","4.8%","41.5","-0.6%"
"Monroe, IA","41","18.0%","-","11.1%","42.1","-8.2%"
"Monroe, WI","54","8.2%","-","23.5%","39.6","0.3%"
"Warren, IA","45","5.8%","48","25.5%","38.7","8.9%"
"Warren, IL","53","11.5%","-","13.1%","38.7","-1.2%"
"Henderson, IL","56","21.1%","-","17.3%","49.8","-12.7%"
"Wabasha, MN","48","10.7%","35","21.6%","44.8","0.3%"
"Hennepin, MN","46","5.8%","39","18.3%","37.8","7.8%"
"Scott, IA","48","4.6%","48","14.1%","39.5","5.6%"
"Scott, MN","51","3.0%","35","16.9%","38.4","11.1%"
"Delaware, IA","43","11.8%","-","28.1%","44.0","0.4%"
"Houston, MN","54","7.7%","51","25.5%","45.0","0.3%"
"Linn, IA","45","7.1%","41","20.8%","39.6","5.5%"
"Keokuk, IA","48","12.5%","-","10.5%","42.8","-4.7%"
"Mower, MN","51","8.2%","45","25.0%","38.9","-0.6%"
"Freeborn, MN","47","8.7%","-","33.8%","43.9","-1.3%"
"Winnebago, IA","46","9.6%","-","15.3%","41.7","-2.3%"
"Hancock, IA","48","9.8%","-","17.3%","44.6","-3.5%"
"Faribault, MN","60","10.8%","-","20.5%","44.6","-1.8%"
"Steele, MN","49","5.5%","-","14.8%","40.2","2.1%"
"Cavalier, ND","51","27.2%","-","0.0%","47.1","-8.0%"
"Redwood, MN","52","13.3%","-","27.5%","41.1","-2.8%"
"Big Stone, MN","53","26.9%","-","0.0%","47.4","-5.7%"
"Hand, SD","54","19.1%","-","0.0%","43.8","-6.0%"
"Lyon, MN","60","11.1%","-","7.8%","37.3","0.0%"
"Lyon, IA","30","8.5%","-","17.3%","38.1","-3.1%"
"Saunders, NE","45","13.1%","52","17.5%","40.4","5.8%"
"Minnehaha, SD","49","5.5%","48","14.8%","36.7","10.4%"
"Yankton, SD","44","6.7%","-","24.0%","42.2","4.4%"
"Miner, SD","44","24.2%","-","0.0%","48.9","-6.8%"
"Wheeler, NE","60","40.4%","-","0.0%","59.9","11.0%"
"Lancaster, NE","43","3.5%","47","10.7%","34.8","7.2%"
"Burke, ND","51","33.6%","-","0.0%","41.1","4.9%"
"Hughes, SD","54","8.0%","-","15.6%","39.3","-0.2%"
"Walworth, SD","34","18.5%","-","34.7%","41.6","-3.2%"
"Meade, SD","42","6.6%","59","20.8%","37.0","6.0%"
"Garden, NE","57","28.8%","-","0.0%","54.1","-7.4%"
"Williams, ND","61","24.5%","68","21.3%","32.3","8.3%"
"McCone, MT","66","24.3%","-","0.0%","52.4","3.5%"
"Fergus, MT","45","13.4%","-","22.6%","45.3","1.9%"
"Sweet Grass, MT","51","22.3%","-","27.5%","44.0","-10.9%"
"Cascade, MT","54","8.7%","61","19.5%","39.1","2.2%"
"Sublette, WY","52","29.0%","-","13.6%","42.8","-12.5%"
"Cache, UT","28","3.4%","64","31.8%","26.6","13.5%"
"Summit, UT","49","44.7%","48","13.3%","41.0","-5.5%"
"Vilas, WI","60","56.1%","-","22.0%","55.5","-3.5%"
"Ashland, WI","56","27.1%","-","23.1%","43.1","-2.6%"
"Juneau, WI","53","26.2%","-","23.5%","45.9","-2.8%"
"Clinton, IA","52","9.9%","-","22.7%","42.5","-1.8%"
"Eau Claire, WI","47","5.1%","45","18.0%","35.7","6.2%"
"Barron, WI","55","18.1%","-","18.1%","44.8","-0.1%"
"Sherburne, MN","49","4.7%","40","18.4%","36.5","9.8%"
"Louisa, IA","46","12.5%","-","37.5%","41.8","-6.0%"
"Winneshiek, IA","59","9.0%","-","14.0%","42.2","0.9%"
"Mahaska, IA","48","8.4%","-","23.8%","39.1","-1.3%"
"Wright, MN","48","5.8%","49","21.5%","37.6","12.1%"
"Wright, IA","45","14.5%","-","12.5%","39.8","-3.8%"
"Boone, NE","35","13.4%","-","13.7%","43.2","-3.7%"
"Boone, IA","50","8.9%","47","26.8%","42.2","0.7%"
"Dallas, IA","43","5.6%","53","28.1%","36.3","21.9%"
"Wapello, IA","41","10.4%","-","16.0%","39.9","-2.0%"
"Union, SD","48","4.2%","47","25.0%","40.4","6.6%"
"Union, IA","53","12.6%","-","20.5%","40.6","-2.1%"
"Montgomery, IA","45","8.0%","-","19.5%","43.8","-4.1%"
"Mahnomen, MN","57","26.6%","-","30.7%","35.2","-8.5%"
"Kittson, MN","45","22.8%","-","0.0%","48.4","-12.7%"
"Murray, MN","52","18.1%","-","9.7%","46.6","-4.7%"
"Woodbury, IA","50","7.5%","54","27.5%","37.6","2.7%"
"Plymouth, IA","45","5.2%","-","35.0%","41.1","0.8%"
"Rock, NE","64","29.7%","-","0.0%","45.2","-5.9%"
"Rock, MN","49","6.6%","51","15.6%","41.1","-0.7%"
"Pipestone, MN","51","7.9%","-","10.8%","39.8","-3.7%"
"Dodge, MN","54","4.5%","52","28.5%","38.5","2.3%"
"Dodge, NE","42","10.2%","-","12.8%","38.9","-1.1%"
"Davison, SD","41","8.7%","-","16.9%","39.8","1.3%"
"Greeley, NE","43","21.7%","-","0.0%","44.5","-8.2%"
"Burleigh, ND","54","4.2%","49","13.0%","38.7","2.8%"
"Perkins, SD","51","27.4%","-","0.0%","43.6","-3.2%"
"Perkins, NE","39","14.1%","-","0.0%","41.0","-6.4%"
"Valley, NE","26","13.8%","-","20.0%","45.4","-8.0%"
"Valley, MT","47","30.4%","-","16.6%","43.2","-12.4%"
"Prairie, MT","62","22.0%","-","0.0%","49.1","-4.3%"
"Powder River, MT","67","28.4%","-","0.0%","48.6","-3.3%"
"Rosebud, MT","64","18.9%","-","0.0%","36.7","-9.4%"
"Fall River, SD","41","16.0%","-","29.8%","54.5","-3.1%"
"Campbell, SD","43","23.5%","-","0.0%","52.4","-7.7%"
"Campbell, WY","63","10.3%","27","15.3%","35.8","-1.0%"
"Larimer, CO","34","6.5%","55","30.9%","37.3","10.2%"
"Musselshell, MT","52","20.3%","-","22.8%","51.3","-2.6%"
"Park, WY","46","11.0%","-","22.3%","44.8","3.4%"
"Park, MT","47","13.9%","-","24.8%","46.2","0.3%"
"Washakie, WY","55","11.2%","-","30.7%","44.2","-0.4%"
"Fremont, ID","42","48.0%","40","22.0%","39.9","-2.5%"
"Fremont, WY","56","15.2%","-","9.9%","39.4","-2.8%"
"Uinta, WY","50","15.6%","-","36.9%","36.7","-1.1%"
"Bear Lake, ID","46","41.4%","-","15.3%","40.2","-3.2%"
"Marathon, WI","65","4.7%","34","10.4%","41.4","2.1%"
"Iron, WI","61","47.0%","-","0.0%","55.9","-7.4%"
"Dubuque, IA","50","1.5%","43","42.1%","39.5","4.9%"
"Lake of the Woods, MN","53","51.8%","-","8.6%","50.8","-8.2%"
"Burnett, WI","55","53.7%","-","17.5%","55.2","-1.0%"
"Carlton, MN","55","11.7%","54","21.7%","41.7","-0.9%"
"Aitkin, MN","56","51.1%","-","23.1%","56.5","-14.4%"
"Kanabec, MN","57","16.9%","-","14.0%","44.5","-1.5%"
"Itasca, MN","62","27.6%","-","21.8%","46.9","-7.1%"
"McLeod, MN","51","6.0%","-","16.9%","41.5","0.7%"
"Wadena, MN","56","15.7%","-","16.6%","40.1","-1.0%"
"Kandiyohi, MN","56","13.6%","-","19.1%","39.8","2.0%"
"Chickasaw, IA","50","10.0%","-","10.5%","43.5","-2.6%"
"Grundy, IA","40","7.3%","50","20.0%","41.5","-1.5%"
"Kossuth, IA","41","9.9%","-","16.0%","45.0","-3.8%"
"Calhoun, IA","53","18.9%","-","21.0%","42.7","-5.3%"
"Sac, IA","38","17.0%","-","0.0%","45.3","-5.1%"
"Dickinson, IA","48","38.4%","-","14.0%","48.1","3.2%"
"Roseau, MN","36","15.7%","-","11.1%","42.3","-4.7%"
"Grand Forks, ND","62","5.7%","50","11.3%","30.8","2.0%"
"Pembina, ND","54","15.8%","-","0.0%","45.5","-9.1%"
"Ramsey, MN","46","4.6%","40","19.3%","36.4","7.0%"
"Ramsey, ND","55","11.7%","-","13.3%","40.2","0.1%"
"Yellow Medicine, MN","56","11.5%","-","12.5%","42.0","-5.2%"
"Wilkin, MN","45","9.6%","-","14.8%","42.0","-4.2%"
"Brookings, SD","41","10.2%","43","2.4%","28.0","4.7%"
"Barnes, ND","57","14.9%","-","13.3%","42.9","-3.0%"
"Dickey, ND","64","18.1%","-","0.0%","38.6","-10.9%"
"Edmunds, SD","44","16.0%","-","36.3%","43.6","-8.3%"
"Crawford, WI","61","23.4%","-","15.3%","47.3","-3.0%"
"Crawford, IA","42","9.0%","-","12.1%","37.9","-2.5%"
"Dakota, MN","45","2.5%","49","20.3%","38.7","7.9%"
"Dakota, NE","46","6.3%","67","14.8%","32.1","-0.3%"
"Bon Homme, SD","46","14.0%","-","23.5%","41.8","-5.0%"
"Holt, NE","42","17.1%","-","0.0%","41.8","-6.3%"
"Brule, SD","53","18.5%","-","0.0%","41.4","-6.9%"
"Cass, IA","42","9.5%","-","21.6%","44.0","-2.9%"
"Cass, MN","55","47.4%","-","21.8%","49.7","-5.4%"
"Cass, ND","49","6.9%","49","19.5%","32.6","8.3%"
"Cass, NE","47","10.3%","53","13.1%","41.0","2.7%"
"McLean, ND","49","26.4%","-","8.5%","47.4","-5.5%"
"Renville, MN","46","13.6%","-","41.6%","42.1","-6.1%"
"Renville, ND","63","29.7%","46","0.0%","42.5","-1.5%"
"Mountrail, ND","55","24.3%","-","19.0%","35.1","1.4%"
"Logan, CO","34","6.4%","-","24.7%","39.1","-4.2%"
"Emmons, ND","65","26.0%","-","0.0%","51.5","-6.6%"
"Corson, SD","57","18.2%","-","0.0%","29.9","-11.0%"
"Oliver, ND","50","20.2%","61","44.4%","46.1","-9.0%"
"Hettinger, ND","62","23.0%","-","0.0%","42.6","-2.1%"
"Deuel, SD","61","16.1%","-","0.0%","42.0","-2.8%"
"Deuel, NE","51","17.5%","-","0.0%","50.7","-3.8%"
"Box Butte, NE","48","13.1%","-","20.5%","40.7","-4.3%"
"Dawes, NE","33","15.7%","-","0.0%","35.2","-5.6%"
"McKenzie, ND","63","23.1%","-","11.7%","31.2","28.6%"
"Daniels, MT","25","36.6%","-","33.3%","48.7","1.6%"
"Harding, SD","54","29.7%","-","0.0%","48.9","0.8%"
"Wibaux, MT","46","21.4%","-","0.0%","44.2","0.6%"
"Banner, NE","54","26.4%","-","0.0%","56.6","-12.2%"
"Weston, WY","55","19.4%","-","0.0%","43.1","-4.1%"
"Platte, NE","38","5.7%","-","28.2%","38.4","3.2%"
"Platte, WY","45","16.7%","-","22.8%","47.8","-3.4%"
"Madison, IA","50","5.7%","46","17.2%","41.0","2.1%"
"Madison, NE","40","7.9%","-","23.0%","37.1","0.8%"
"Madison, ID","31","13.4%","64","25.3%","21.4","7.1%"
"Lafayette, WI","58","7.0%","-","11.1%","40.9","-0.9%"
"Rock Island, IL","55","6.5%","36","14.6%","40.7","0.8%"
"Grant, MN","50","19.8%","-","44.4%","43.7","-4.9%"
"Grant, SD","57","13.1%","-","0.0%","43.7","-4.4%"
"Grant, WI","56","10.2%","-","15.6%","36.9","0.6%"
"St. Louis, MN","55","16.2%","53","18.5%","41.7","-0.4%"
"Chisago, MN","52","6.4%","41","17.4%","40.8","4.2%"
"Todd, MN","49","22.2%","-","31.6%","42.8","-1.6%"
"Muscatine, IA","47","6.8%","-","26.6%","39.1","1.8%"
"La Crosse, WI","52","5.0%","43","15.6%","38.3","6.8%"
"Iowa, WI","53","9.5%","45","10.8%","43.7","1.3%"
"Iowa, IA","53","6.8%","-","23.0%","42.2","0.4%"
"Olmsted, MN","45","8.0%","54","15.8%","37.7","8.3%"
"Mitchell, IA","53","8.6%","-","10.5%","42.2","-0.8%"
"Marshall, MN","52","15.3%","-","15.3%","43.2","-8.2%"
"Marshall, SD","37","32.2%","-","0.0%","42.8","-7.5%"
"Marshall, IA","42","7.7%","-","17.1%","38.7","0.5%"
