"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Elko, NV","8.6%","7.5%","-21.2%","15.9%","3.0%","4.6%"
"San Juan, WA","45.9%","24.0%","6.2%","14.0%","10.8%","-"
"Mason, WA","9.1%","26.4%","11.1%","27.5%","4.3%","3.8%"
"Skamania, WA","1.7%","24.7%","40.0%","45.0%","5.6%","1.8%"
"Polk, OR","-1.3%","9.0%","-13.8%","29.2%","5.3%","3.1%"
"Grays Harbor, WA","35.1%","14.9%","30.3%","23.6%","4.5%","4.3%"
"Wahkiakum, WA","54.1%","25.4%","-33.3%","19.0%","9.1%","-"
"Pacific, WA","26.6%","14.2%","-17.2%","22.7%","11.6%","4.7%"
"Lane, OR","35.8%","19.1%","11.5%","35.7%","0.4%","4.1%"
"Madison, MT","22.6%","7.3%","-16.6%","9.8%","9.2%","-"
"Shoshone, ID","47.0%","8.5%","-13.3%","28.3%","8.4%","-"
"Power, ID","58.6%","9.5%","100.0%","30.7%","3.9%","-"
"Cassia, ID","17.8%","22.5%","-25.0%","16.6%","6.5%","5.7%"
"Boise, ID","40.5%","38.2%","100.0%","25.1%","12.3%","2.3%"
"Boundary, ID","-1.5%","36.8%","-55.5%","19.0%","9.9%","-"
"Benewah, ID","-18.7%","16.4%","44.4%","33.3%","9.1%","-"
"Latah, ID","4.3%","12.0%","-14.2%","30.3%","2.7%","2.6%"
"Baker, OR","23.4%","8.7%","14.2%","21.0%","5.0%","-"
"Franklin, WA","32.2%","20.3%","-23.5%","22.9%","4.9%","3.9%"
"Morrow, OR","3.3%","24.0%","-22.2%","26.6%","9.2%","3.9%"
"Lander, NV","37.5%","12.8%","-50.0%","0.0%","-0.0%","-"
"Washoe, NV","48.0%","11.2%","2.4%","30.7%","6.9%","3.8%"
"Chelan, WA","40.1%","23.7%","30.9%","15.6%","3.8%","3.6%"
"Linn, OR","13.7%","9.0%","12.9%","30.0%","3.2%","4.3%"
"Columbia, WA","23.0%","84.6%","-33.3%","12.5%","-0.1%","-"
"Columbia, OR","27.2%","9.1%","34.0%","34.9%","4.5%","2.9%"
"Crook, OR","89.2%","21.1%","14.7%","30.4%","14.8%","3.5%"
"Deschutes, OR","38.9%","22.4%","-6.8%","28.0%","8.6%","3.7%"
"Del Norte, CA","22.9%","3.0%","-25.0%","13.3%","-0.4%","-"
"Lassen, CA","9.1%","18.0%","4.1%","15.7%","-0.0%","6.2%"
"Shasta, CA","36.9%","11.0%","-14.9%","24.3%","0.1%","4.6%"
"Lewis and Clark, MT","18.2%","17.0%","-12.6%","24.9%","9.1%","3.3%"
"Lemhi, ID","58.9%","11.7%","-62.5%","22.5%","4.7%","-"
"Custer, ID","-12.3%","20.7%","0.0%","10.5%","6.5%","-"
"Spokane, WA","21.4%","19.4%","1.0%","28.4%","7.1%","3.8%"
"Idaho, ID","33.7%","24.3%","-37.5%","16.1%","4.7%","-"
"Nez Perce, ID","35.4%","20.9%","-4.7%","22.0%","5.7%","2.9%"
"Garfield, WA","166.6%","6.6%","-60.0%","0.0%","4.5%","-"
"Umatilla, OR","-0.3%","3.7%","10.5%","29.6%","3.2%","4.2%"
"Payette, ID","11.1%","2.6%","86.9%","32.5%","13.6%","3.4%"
"Harney, OR","-3.8%","8.5%","-66.6%","8.5%","3.9%","-"
"Whatcom, WA","61.3%","25.3%","-1.7%","17.5%","2.7%","3.7%"
"Kitsap, WA","4.5%","26.4%","-3.2%","22.7%","2.9%","3.5%"
"Sherman, OR","50.0%","0.0%","-33.3%","0.0%","18.8%","-"
"Hood River, OR","32.5%","34.1%","6.6%","40.0%","3.5%","4.0%"
"Cowlitz, WA","29.2%","10.9%","-15.3%","33.1%","3.5%","3.6%"
"Clark, ID","100.0%","0.0%","-50.0%","0.0%","-27.9%","-"
"Clark, WA","28.2%","20.3%","0.3%","32.8%","8.1%","3.4%"
"Josephine, OR","28.4%","12.7%","2.6%","32.8%","0.4%","4.4%"
"Missoula, MT","18.9%","25.3%","9.7%","25.3%","2.5%","2.4%"
"Ravalli, MT","33.3%","34.2%","26.0%","23.7%","9.3%","2.9%"
"Clearwater, ID","45.7%","24.6%","0.0%","15.3%","3.2%","-"
"Bingham, ID","82.5%","26.9%","-17.6%","29.1%","7.5%","3.0%"
"Blaine, ID","-6.5%","-6.5%","10.8%","5.6%","11.7%","4.0%"
"Camas, ID","52.3%","33.3%","100.0%","23.5%","30.3%","9.0%"
"Tooele, UT","55.7%","7.4%","-6.1%","45.1%","17.3%","2.4%"
"Bonner, ID","16.4%","28.3%","39.0%","20.1%","15.7%","2.9%"
"King, WA","59.7%","32.4%","-1.9%","22.9%","1.7%","2.4%"
"Thurston, WA","17.7%","28.7%","-9.1%","25.0%","4.3%","3.9%"
"Tillamook, OR","57.2%","15.9%","48.6%","29.6%","5.3%","5.1%"
"Clatsop, OR","39.2%","22.9%","-25.4%","24.7%","7.2%","3.1%"
"Pondera, MT","134.7%","17.3%","-25.0%","22.8%","-0.5%","-"
"Flathead, MT","17.2%","21.8%","-5.5%","22.9%","11.3%","3.7%"
"Mineral, MT","18.7%","31.0%","200.0%","27.2%","13.8%","2.6%"
"Valley, ID","10.6%","25.3%","21.0%","14.9%","16.6%","-"
"Wallowa, OR","16.1%","9.9%","25.0%","20.7%","8.7%","-"
"Gilliam, OR","20.0%","20.0%","-50.0%","0.0%","4.9%","-"
"Jefferson, MT","11.6%","13.5%","-37.5%","18.3%","6.1%","2.3%"
"Jefferson, ID","72.9%","20.4%","27.2%","27.8%","15.2%","2.6%"
"Jefferson, WA","39.4%","33.0%","-10.3%","24.8%","7.9%","-"
"Jefferson, OR","36.1%","0.7%","-41.6%","26.2%","7.9%","2.8%"
"Pierce, WA","23.5%","25.4%","-3.8%","26.8%","4.1%","3.5%"
"Marion, OR","14.0%","11.1%","-16.3%","27.8%","-0.0%","4.1%"
"Trinity, CA","19.8%","13.3%","116.6%","16.0%","23.5%","-"
"Powell, MT","110.2%","9.3%","-75.0%","8.3%","2.4%","-"
"Bonneville, ID","43.6%","21.1%","8.6%","29.3%","12.4%","3.4%"
"Bannock, ID","17.2%","23.8%","7.2%","24.1%","3.7%","3.3%"
"Whitman, WA","-7.6%","12.8%","10.0%","30.7%","-3.1%","3.5%"
"Union, OR","6.7%","17.7%","-4.1%","24.4%","0.6%","4.3%"
"Adams, ID","7.8%","30.1%","-75.0%","24.4%","14.4%","-"
"Adams, WA","26.3%","29.0%","-75.0%","20.5%","6.3%","-"
"Walla Walla, WA","25.6%","38.1%","-26.1%","22.1%","3.0%","4.3%"
"Benton, OR","12.0%","13.3%","-2.7%","26.2%","6.0%","3.7%"
"Benton, WA","23.0%","10.9%","2.7%","26.8%","6.6%","4.0%"
"Grant, OR","24.7%","7.4%","50.0%","17.1%","0.7%","-"
"Grant, WA","56.4%","10.6%","13.4%","22.4%","5.4%","4.6%"
"Malheur, OR","17.4%","-6.6%","125.0%","28.8%","4.1%","4.3%"
"Skagit, WA","0.1%","19.5%","22.5%","26.1%","2.5%","3.8%"
"Snohomish, WA","60.5%","38.4%","1.9%","22.7%","3.6%","2.7%"
"Island, WA","21.2%","31.4%","25.5%","22.4%","2.1%","2.9%"
"Clallam, WA","48.6%","38.0%","-5.5%","26.5%","1.1%","4.8%"
"Klickitat, WA","48.6%","16.4%","-28.5%","30.0%","7.8%","3.2%"
"Clackamas, OR","57.4%","21.7%","-5.3%","40.0%","1.7%","2.9%"
"Klamath, OR","49.8%","24.6%","-13.2%","27.6%","3.4%","4.6%"
"Siskiyou, CA","21.6%","21.4%","-16.6%","20.1%","0.6%","5.9%"
"Beaverhead, MT","24.7%","2.9%","-22.2%","11.5%","2.0%","-"
"Gooding, ID","36.3%","23.7%","200.0%","21.6%","3.7%","-"
"Pend Oreille, WA","36.3%","32.7%","-28.5%","11.8%","4.4%","-"
"Washington, OR","50.9%","18.3%","-4.7%","38.7%","0.1%","3.4%"
"Washington, ID","-17.6%","23.5%","28.5%","33.8%","8.3%","-"
"Kittitas, WA","23.7%","24.1%","39.6%","24.2%","-0.1%","3.9%"
"Wasco, OR","33.8%","14.4%","5.2%","23.8%","2.8%","4.1%"
"Lewis, ID","-10.5%","3.0%","-50.0%","34.7%","-5.0%","-"
"Lewis, WA","32.6%","18.4%","-9.8%","28.1%","8.2%","3.2%"
"Yamhill, OR","16.7%","4.7%","-23.6%","34.3%","1.5%","3.1%"
"Lincoln, ID","-8.1%","54.5%","0.0%","0.0%","-0.8%","8.9%"
"Lincoln, WA","0.8%","25.5%","28.5%","26.6%","8.0%","-"
"Lincoln, MT","34.2%","11.7%","30.7%","20.8%","6.7%","-"
"Lincoln, OR","40.8%","9.2%","-39.1%","30.3%","5.7%","4.9%"
"Douglas, WA","18.4%","27.7%","-2.3%","28.7%","5.7%","4.1%"
"Douglas, OR","45.4%","14.2%","19.5%","41.1%","1.9%","4.2%"
"Jackson, OR","23.1%","18.6%","15.6%","27.6%","0.5%","4.4%"
"Coos, OR","22.3%","19.0%","1.6%","31.9%","2.4%","4.5%"
"Curry, OR","16.1%","6.1%","-25.0%","33.6%","4.2%","-"
"Price, WI","4.6%","24.4%","-54.5%","11.4%","4.3%","-"
"Anoka, MN","11.7%","9.7%","-8.2%","16.4%","5.2%","4.2%"
"Carver, MN","16.8%","11.5%","6.6%","18.0%","7.2%","3.8%"
"Morrison, MN","18.6%","14.6%","18.1%","19.0%","3.5%","-"
"Clayton, IA","72.5%","3.5%","66.6%","24.6%","-3.4%","-"
"Marion, IA","42.6%","13.3%","0.0%","21.8%","1.0%","3.8%"
"Cerro Gordo, IA","50.4%","9.3%","-18.7%","18.7%","-0.4%","4.4%"
"Waseca, MN","12.5%","22.7%","46.6%","27.5%","0.7%","-"
"Blue Earth, MN","20.0%","12.6%","-","15.6%","3.8%","4.9%"
"Webster, IA","5.5%","6.6%","0.0%","20.7%","0.2%","6.3%"
"Humboldt, IA","21.0%","-3.1%","125.0%","15.3%","0.0%","-"
"Greene, IA","69.5%","2.6%","200.0%","7.5%","-3.1%","-"
"Martin, MN","3.4%","38.4%","-33.3%","10.8%","-0.5%","-"
"Pocahontas, IA","31.8%","31.8%","-75.0%","11.4%","2.0%","-"
"Palo Alto, IA","16.1%","5.8%","-25.0%","7.4%","-1.6%","-"
"Red Lake, MN","150.0%","66.6%","0.0%","36.3%","-2.1%","-"
"Norman, MN","125.0%","50.0%","50.0%","17.3%","-2.2%","-"
"Eddy, ND","100.0%","0.0%","0.0%","0.0%","0.2%","-"
"Pope, MN","6.4%","26.1%","0.0%","26.2%","3.4%","-"
"Otter Tail, MN","24.1%","28.0%","-1.7%","24.0%","3.9%","3.2%"
"Becker, MN","29.3%","30.4%","-11.1%","28.9%","4.4%","-"
"Lac qui Parle, MN","38.8%","31.5%","100.0%","25.0%","-1.1%","-"
"Traverse, MN","77.7%","45.4%","50.0%","0.0%","-1.7%","-"
"Spink, SD","57.1%","0.0%","100.0%","0.0%","-3.9%","-"
"Stutsman, ND","27.2%","9.3%","-27.7%","14.5%","2.1%","3.9%"
"Harrison, IA","13.3%","-10.5%","-38.8%","32.2%","3.5%","4.6%"
"Sarpy, NE","-1.0%","1.6%","0.8%","10.3%","8.3%","4.2%"
"Moody, SD","28.5%","12.5%","300.0%","0.0%","-2.0%","-"
"Butler, IA","90.7%","18.8%","400.0%","17.9%","-2.9%","-"
"Butler, NE","135.2%","-20.0%","-20.0%","34.7%","4.2%","-"
"Nance, NE","40.0%","0.0%","100.0%","0.0%","-5.9%","-"
"Antelope, NE","-38.4%","14.2%","100.0%","0.0%","-1.0%","-"
"Charles Mix, SD","54.5%","41.6%","200.0%","22.2%","-0.6%","-"
"Boyd, NE","-33.3%","-20.0%","-","0.0%","-16.5%","-"
"Hamilton, IA","67.8%","30.5%","-33.3%","16.4%","-1.4%","-"
"Hamilton, NE","78.9%","9.6%","133.3%","27.9%","2.8%","-"
"Wells, ND","17.2%","30.7%","0.0%","20.0%","-2.7%","-"
"McHenry, ND","-45.4%","-14.2%","0.0%","0.0%","-11.1%","5.4%"
"Keya Paha, NE","200.0%","100.0%","-","0.0%","18.5%","-"
"Cheyenne, NE","37.2%","25.5%","100.0%","23.8%","-3.7%","-"
"Bowman, ND","-42.1%","69.2%","-50.0%","22.2%","-8.1%","-"
"Albany, WY","50.9%","-2.9%","-29.4%","9.6%","-1.0%","3.5%"
"Liberty, MT","28.5%","0.0%","0.0%","0.0%","-13.6%","-"
"Stillwater, MT","52.3%","37.1%","11.1%","18.4%","-3.8%","3.2%"
"Wheatland, MT","60.0%","-11.1%","-66.6%","44.4%","-4.6%","-"
"Gallatin, MT","19.1%","17.8%","-6.0%","19.1%","12.9%","3.5%"
"Broadwater, MT","43.1%","34.0%","80.0%","21.0%","25.2%","2.6%"
"Sweetwater, WY","6.2%","0.5%","9.3%","32.9%","-5.2%","4.2%"
"Caribou, ID","78.7%","35.4%","-50.0%","25.5%","2.8%","-"
"Morgan, UT","11.1%","35.5%","60.0%","35.0%","10.4%","2.3%"
"Gogebic, MI","19.5%","16.0%","-38.8%","10.8%","-6.9%","-"
"Taylor, WI","60.0%","-18.5%","-46.6%","21.3%","-1.8%","-"
"Pepin, WI","-15.3%","-26.6%","40.0%","36.3%","1.5%","-"
"Pine, MN","10.4%","20.3%","29.6%","26.0%","0.9%","-"
"Stearns, MN","17.9%","10.0%","-13.6%","18.8%","1.0%","4.9%"
"Winona, MN","3.3%","1.0%","-25.6%","24.0%","-2.2%","4.3%"
"Fayette, IA","-12.2%","17.6%","-9.5%","28.2%","-2.6%","-"
"Tama, IA","65.3%","13.1%","27.2%","10.5%","-0.8%","-"
"Poweshiek, IA","7.6%","22.8%","-20.0%","13.6%","-0.1%","-"
"Worth, IA","81.8%","5.2%","100.0%","14.2%","-1.4%","4.2%"
"Adair, IA","157.1%","44.0%","-33.3%","17.3%","4.8%","-"
"Guthrie, IA","-0.9%","6.2%","0.0%","22.7%","-0.2%","3.4%"
"Shelby, IA","20.6%","49.0%","-10.0%","26.0%","0.5%","-"
"Foster, ND","-66.6%","33.3%","0.0%","0.0%","2.4%","-"
"Towner, ND","300.0%","0.0%","0.0%","0.0%","-5.9%","-"
"Roberts, SD","17.2%","0.0%","200.0%","20.0%","-0.6%","-"
"LaMoure, ND","0.0%","50.0%","-50.0%","0.0%","0.1%","-"
"Osceola, IA","12.5%","38.4%","50.0%","30.7%","-0.0%","-"
"Thurston, NE","-25.0%","-25.0%","0.0%","0.0%","-6.6%","-"
"McCook, SD","80.9%","18.7%","-16.6%","27.5%","4.0%","3.1%"
"Merrick, NE","38.4%","-12.2%","0.0%","16.6%","-1.3%","4.6%"
"Kidder, ND","-47.3%","0.0%","0.0%","0.0%","-3.4%","-"
"Stanley, SD","166.6%","14.2%","200.0%","0.0%","0.5%","-"
"Hooker, NE","-33.3%","0.0%","-","0.0%","-11.2%","-"
"Sedgwick, CO","16.6%","47.3%","0.0%","22.2%","-0.1%","-"
"Roosevelt, MT","-45.8%","-13.3%","0.0%","0.0%","-5.0%","-"
"Crook, WY","48.4%","13.9%","100.0%","23.0%","-0.9%","-"
"Converse, WY","-32.6%","-14.6%","58.3%","24.2%","-1.7%","-"
"Weld, CO","42.0%","11.6%","5.4%","30.2%","14.3%","4.5%"
"Routt, CO","153.5%","12.7%","-20.5%","17.1%","0.4%","4.0%"
"Toole, MT","9.6%","17.2%","300.0%","36.3%","1.0%","-"
"Yellowstone, MT","41.9%","17.7%","10.1%","25.6%","6.6%","3.6%"
"Meagher, MT","-8.3%","0.0%","-50.0%","0.0%","0.5%","-"
"Rich, UT","48.3%","18.4%","40.0%","10.6%","10.1%","-"
"Jefferson, IA","57.8%","3.6%","-33.3%","12.2%","-13.2%","5.5%"
"Whiteside, IL","56.3%","5.0%","20.0%","25.0%","-2.1%","-"
"Vernon, WI","33.3%","9.4%","50.0%","4.8%","1.3%","3.0%"
"Monroe, IA","40.5%","10.6%","150.0%","11.1%","-4.0%","-"
"Monroe, WI","-4.9%","-2.1%","-23.5%","23.5%","1.4%","-"
"Warren, IA","13.1%","6.5%","18.4%","25.5%","8.3%","2.8%"
"Warren, IL","5.8%","2.2%","25.0%","13.1%","-4.3%","-"
"Henderson, IL","100.0%","52.0%","-28.5%","17.3%","-8.7%","5.7%"
"Wabasha, MN","39.1%","4.3%","-26.3%","21.6%","0.0%","3.2%"
"Hennepin, MN","13.6%","17.7%","-0.9%","18.3%","-0.0%","4.3%"
"Scott, IA","18.0%","0.5%","9.9%","14.1%","0.5%","4.1%"
"Scott, MN","6.9%","18.8%","22.1%","16.9%","5.7%","3.7%"
"Delaware, IA","53.8%","11.1%","83.3%","28.1%","1.6%","-"
"Houston, MN","-18.0%","-7.4%","71.4%","25.5%","0.5%","2.6%"
"Linn, IA","22.9%","3.1%","9.3%","20.8%","1.3%","4.7%"
"Keokuk, IA","47.3%","33.3%","-33.3%","10.5%","-2.3%","-"
"Mower, MN","42.8%","4.4%","-39.4%","25.0%","1.1%","4.2%"
"Freeborn, MN","36.5%","5.9%","23.8%","33.8%","0.7%","-"
"Winnebago, IA","47.3%","10.5%","-45.4%","15.3%","0.7%","-"
"Hancock, IA","51.0%","4.2%","-33.3%","17.3%","-1.5%","-"
"Faribault, MN","-29.0%","7.3%","-18.1%","20.5%","0.0%","-"
"Steele, MN","37.2%","38.8%","65.3%","14.8%","2.0%","-"
"Cavalier, ND","-20.0%","0.0%","100.0%","0.0%","-4.2%","-"
"Redwood, MN","28.8%","15.1%","-27.2%","27.5%","0.3%","-"
"Big Stone, MN","142.8%","30.7%","-83.3%","0.0%","2.7%","-"
"Hand, SD","-45.4%","20.0%","-66.6%","0.0%","-7.7%","-"
"Lyon, MN","-20.5%","5.8%","21.4%","7.8%","-1.3%","-"
"Lyon, IA","63.6%","18.0%","0.0%","17.3%","2.7%","-"
"Saunders, NE","16.2%","8.7%","17.6%","17.5%","8.2%","2.7%"
"Minnehaha, SD","38.8%","16.7%","7.7%","14.8%","7.2%","3.3%"
"Yankton, SD","69.8%","18.0%","33.3%","24.0%","2.9%","-"
"Miner, SD","100.0%","-50.0%","-50.0%","0.0%","3.1%","-"
"Wheeler, NE","0.0%","0.0%","-","0.0%","-4.5%","-"
"Lancaster, NE","29.8%","4.3%","3.4%","10.7%","2.9%","4.2%"
"Burke, ND","75.0%","-6.6%","100.0%","0.0%","-2.2%","-"
"Hughes, SD","36.5%","-6.6%","50.0%","15.6%","0.6%","-"
"Walworth, SD","65.2%","-9.5%","-50.0%","34.7%","-3.8%","-"
"Meade, SD","54.2%","17.3%","-37.8%","20.8%","10.4%","3.2%"
"Garden, NE","-41.1%","0.0%","-","0.0%","-12.9%","-"
"Williams, ND","4.0%","11.1%","-24.1%","21.3%","15.5%","3.9%"
"McCone, MT","-75.0%","0.0%","0.0%","0.0%","11.5%","-"
"Fergus, MT","78.9%","-0.9%","100.0%","22.6%","2.7%","-"
"Sweet Grass, MT","30.0%","26.8%","-75.0%","27.5%","1.6%","-"
"Cascade, MT","30.9%","37.4%","-16.8%","19.5%","3.9%","4.4%"
"Sublette, WY","32.7%","16.2%","0.0%","13.6%","-11.5%","-"
"Cache, UT","73.6%","14.2%","-12.2%","31.8%","12.0%","3.6%"
"Summit, UT","16.9%","5.3%","-15.9%","13.3%","5.4%","2.1%"
"Vilas, WI","36.1%","50.7%","-31.4%","22.0%","8.4%","-"
"Ashland, WI","25.0%","33.3%","-33.3%","23.1%","2.1%","-"
"Juneau, WI","80.0%","35.6%","-29.0%","23.5%","1.0%","-"
"Clinton, IA","14.4%","5.7%","-9.3%","22.7%","-1.7%","-"
"Eau Claire, WI","17.9%","0.3%","11.1%","18.0%","3.2%","3.3%"
"Barron, WI","-4.9%","12.3%","8.1%","18.1%","3.2%","-"
"Sherburne, MN","16.3%","8.5%","2.0%","18.4%","6.4%","3.3%"
"Louisa, IA","180.0%","5.6%","66.6%","37.5%","-4.5%","-"
"Winneshiek, IA","100.0%","52.9%","100.0%","14.0%","-2.1%","4.4%"
"Mahaska, IA","80.9%","-9.5%","7.6%","23.8%","-0.7%","-"
"Wright, MN","10.8%","8.8%","25.1%","21.5%","10.8%","3.8%"
"Wright, IA","61.2%","19.0%","20.0%","12.5%","0.1%","-"
"Boone, NE","200.0%","26.3%","0.0%","13.7%","0.9%","-"
"Boone, IA","26.7%","19.3%","-34.1%","26.8%","1.0%","3.5%"
"Dallas, IA","15.9%","6.3%","19.4%","28.1%","23.1%","4.2%"
"Wapello, IA","79.4%","3.4%","-32.2%","16.0%","-0.1%","-"
"Union, SD","1.5%","21.8%","-25.0%","25.0%","11.4%","3.7%"
"Union, IA","-1.7%","-1.7%","8.3%","20.5%","-3.3%","-"
"Montgomery, IA","61.1%","9.4%","-83.3%","19.5%","0.9%","-"
"Mahnomen, MN","0.0%","28.5%","-80.0%","30.7%","-2.4%","-"
"Kittson, MN","45.4%","-11.1%","-50.0%","0.0%","-4.0%","-"
"Murray, MN","76.0%","33.3%","-40.0%","9.7%","-2.8%","-"
"Woodbury, IA","-4.8%","6.9%","-3.1%","27.5%","3.3%","6.8%"
"Plymouth, IA","11.6%","-13.1%","50.0%","35.0%","2.6%","-"
"Rock, NE","-33.3%","-50.0%","-","0.0%","-1.1%","-"
"Rock, MN","52.1%","42.8%","100.0%","15.6%","2.2%","3.6%"
"Pipestone, MN","-9.4%","17.0%","166.6%","10.8%","1.8%","-"
"Dodge, MN","-20.5%","12.5%","-16.6%","28.5%","1.8%","4.1%"
"Dodge, NE","-20.0%","-8.1%","0.0%","12.8%","1.2%","5.5%"
"Davison, SD","57.3%","26.1%","-15.0%","16.9%","0.1%","-"
"Greeley, NE","-33.3%","33.3%","-","0.0%","-8.2%","-"
"Burleigh, ND","4.6%","12.2%","1.1%","13.0%","4.9%","3.6%"
"Perkins, SD","-28.0%","12.5%","0.0%","0.0%","5.1%","-"
"Perkins, NE","-47.3%","-23.0%","0.0%","0.0%","-2.4%","-"
"Valley, NE","150.0%","20.0%","-","20.0%","-3.0%","-"
"Valley, MT","51.7%","41.9%","-50.0%","16.6%","0.1%","-"
"Prairie, MT","-50.0%","0.0%","-50.0%","0.0%","-6.7%","-"
"Powder River, MT","0.0%","-50.0%","-","0.0%","8.8%","-"
"Rosebud, MT","-73.9%","-25.0%","100.0%","0.0%","-10.9%","-"
"Fall River, SD","45.2%","9.2%","-44.4%","29.8%","5.9%","-"
"Campbell, SD","100.0%","0.0%","0.0%","0.0%","3.2%","-"
"Campbell, WY","0.0%","1.7%","-66.6%","15.3%","-1.4%","3.6%"
"Larimer, CO","57.8%","18.4%","15.3%","30.9%","5.7%","3.9%"
"Musselshell, MT","2.0%","-3.8%","66.6%","22.8%","5.4%","-"
"Park, WY","23.2%","15.5%","-11.7%","22.3%","3.3%","-"
"Park, MT","38.8%","37.9%","-15.3%","24.8%","7.6%","3.2%"
"Washakie, WY","-23.0%","21.9%","-33.3%","30.7%","-5.1%","-"
"Fremont, ID","1.3%","30.6%","50.0%","22.0%","5.6%","2.0%"
"Fremont, WY","-3.4%","20.6%","-37.8%","9.9%","-1.5%","3.1%"
"Uinta, WY","56.6%","19.2%","41.6%","36.9%","-0.0%","-"
"Bear Lake, ID","9.2%","16.3%","20.0%","15.3%","9.8%","-"
"Marathon, WI","7.9%","22.1%","-13.7%","10.4%","2.3%","3.1%"
"Iron, WI","27.6%","36.3%","-25.0%","0.0%","7.8%","-"
"Dubuque, IA","35.5%","11.1%","-24.7%","42.1%","2.0%","4.7%"
"Lake of the Woods, MN","47.8%","15.2%","-57.1%","8.6%","-0.2%","-"
"Burnett, WI","77.3%","35.0%","19.0%","17.5%","9.7%","-"
"Carlton, MN","44.6%","54.1%","-","21.7%","2.5%","4.5%"
"Aitkin, MN","24.3%","14.2%","5.0%","23.1%","0.6%","-"
"Kanabec, MN","0.0%","12.5%","20.0%","14.0%","1.6%","-"
"Itasca, MN","41.0%","37.0%","-42.8%","21.8%","-0.1%","-"
"McLeod, MN","28.7%","23.0%","-3.0%","16.9%","2.6%","-"
"Wadena, MN","-15.4%","-1.6%","-21.4%","16.6%","3.5%","-"
"Kandiyohi, MN","49.2%","20.5%","-4.8%","19.1%","2.5%","-"
"Chickasaw, IA","-2.4%","-6.9%","20.0%","10.5%","-1.9%","-"
"Grundy, IA","95.1%","-10.1%","42.8%","20.0%","0.0%","4.3%"
"Kossuth, IA","63.1%","0.6%","-14.2%","16.0%","-3.0%","-"
"Calhoun, IA","5.0%","31.9%","50.0%","21.0%","0.7%","-"
"Sac, IA","44.1%","-3.1%","0.0%","0.0%","-1.1%","-"
"Dickinson, IA","35.7%","3.4%","15.1%","14.0%","4.6%","-"
"Roseau, MN","30.3%","6.8%","57.1%","11.1%","-1.0%","-"
"Grand Forks, ND","-30.6%","0.5%","-","11.3%","2.7%","4.8%"
