"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Custer, SD","61","29.4%","$498,092","3.6%","-3.2%","8,686"
"Sublette, WY","72","-19.6%","$448,009","2.9%","0.8%","8,806"
"Cache, UT","49","13.9%","$467,392","0.7%","100.4%","142,393"
"Summit, UT","73","-1.6%","$1,320,421","1.5%","1.4%","42,709"
"Perkins, NE","123","50.0%","$206,499","3.5%","8.1%","2,835"
"Fall River, SD","54","-18.3%","$290,754","4.3%","40.3%","7,179"
"Campbell, WY","38","-26.4%","$360,822","10.7%","-43.5%","47,018"
"Larimer, CO","39","19.0%","$566,584","0.1%","61.6%","370,771"
"Park, WY","54","-12.6%","$468,121","6.2%","34.1%","30,109"
"Washakie, WY","95","6.7%","$253,941","5.5%","-42.8%","7,708"
"Fremont, ID","48","-12.0%","$452,889","3.0%","50.4%","13,701"
"Fremont, WY","59","1.7%","$314,163","3.9%","-17.9%","39,472"
"Uinta, WY","49","-10.5%","$321,470","4.9%","16.3%","20,605"
"Bear Lake, ID","72","-3.0%","$394,309","1.2%","34.9%","6,552"
"Deuel, NE","51","-71.0%","$157,372","5.2%","-15.1%","1,865"
"Box Butte, NE","46","30.5%","$168,762","4.2%","30.6%","10,754"
"Dawes, NE","98","-40.3%","$180,245","3.8%","230.5%","8,212"
"Banner, NE","46","-78.9%","$371,998","14.5%","4.3%","657"
"Weston, WY","81","3.1%","$244,731","4.8%","-31.3%","6,835"
"Platte, WY","52","1.9%","$280,306","6.9%","36.4%","8,606"
"Jackson, SD","102","5,000.0%","$151,318","4.3%","40.0%","2,826"
"Madison, ID","47","-6.9%","$410,435","2.3%","60.9%","53,578"
"Franklin, ID","47","18.2%","$439,576","3.1%","97.6%","14,715"
"Sioux, NE","272","28.9%","$275,606","14.7%","-17.6%","1,197"
"Cherry, NE","84","-4.0%","$234,173","17.4%","103.1%","5,468"
"Pennington, SD","33","-16.4%","$363,299","3.2%","25.0%","115,903"
"Niobrara, WY","51","-20.0%","$187,100","12.7%","-39.6%","2,415"
"Johnson, WY","58","11.5%","$400,622","6.1%","-18.0%","8,602"
"Carbon, WY","70","-29.4%","$220,027","5.2%","-22.2%","14,549"
"Teton, WY","108","0.9%","$2,219,743","-2.8%","8.9%","23,358"
"Teton, ID","67","36.7%","$837,936","1.6%","52.8%","12,101"
"Moffat, CO","80","33.3%","$296,059","3.3%","-0.7%","13,258"
"Keith, NE","119","64.5%","$225,766","3.2%","36.3%","8,239"
"Scotts Bluff, NE","49","-24.2%","$187,766","6.1%","3.3%","35,937"
"Kimball, NE","68","-22.8%","$158,573","0.1%","58.1%","3,348"
"Laramie, WY","38","10.1%","$378,822","3.1%","20.3%","100,984"
"Natrona, WY","35","6.8%","$303,054","6.1%","-6.9%","79,941"
"Hot Springs, WY","91","-12.5%","$236,291","7.0%","-33.5%","4,618"
"Lincoln, NE","42","18.5%","$210,288","4.9%","1.3%","34,122"
"Lincoln, WY","50","17.6%","$497,763","4.4%","28.3%","20,158"
"McPherson, NE","5","-","$352,742","18.0%","0.0%","463"
"Sheridan, NE","77","-47.1%","$127,591","3.9%","182.3%","5,058"
"Morrill, NE","68","70.8%","$147,181","4.8%","96.2%","4,544"
"Goshen, WY","49","-12.2%","$247,083","4.8%","0.2%","12,587"
"Weber, UT","46","17.9%","$464,230","1.9%","65.7%","271,926"
"Davis, UT","40","37.9%","$557,391","2.6%","50.0%","373,207"
"Clayton, IA","63","168.8%","$256,304","8.2%","-15.5%","17,069"
"Johnson, IA","46","3.3%","$302,154","2.7%","-8.4%","157,528"
"Marion, IA","43","-17.3%","$265,236","6.0%","50.5%","33,551"
"Cerro Gordo, IA","58","26.7%","$194,985","4.2%","22.2%","42,785"
"Waseca, MN","35","-35.5%","$250,744","4.9%","-11.4%","18,958"
"Blue Earth, MN","43","-26.5%","$298,450","3.9%","-14.0%","70,006"
"Webster, IA","58","46.5%","$133,777","2.2%","5.2%","36,848"
"Humboldt, IA","69","18.4%","$162,188","2.9%","43.1%","9,573"
"Greene, IA","67","34.0%","$164,903","5.3%","81.3%","8,722"
"Martin, MN","40","-26.1%","$209,253","4.3%","-6.0%","19,864"
"Pocahontas, IA","94","45.7%","$107,271","1.7%","84.1%","7,040"
"Palo Alto, IA","54","3.8%","$165,413","7.1%","26.3%","8,902"
"Harrison, IA","42","23.8%","$212,769","5.1%","-2.5%","14,645"
"Sarpy, NE","52","6.6%","$352,743","1.5%","36.6%","199,886"
"Moody, SD","71","-16.4%","$298,120","4.6%","-30.0%","6,371"
"Butler, IA","48","-22.7%","$178,152","4.2%","6.8%","14,301"
"Butler, NE","66","74.8%","$227,315","8.5%","56.8%","8,413"
"Platte, NE","50","-3.8%","$272,652","4.6%","36.9%","34,358"
"Nance, NE","51","5.1%","$184,282","5.8%","9.8%","3,342"
"Antelope, NE","47","-29.8%","$202,633","2.1%","-11.1%","6,302"
"Charles Mix, SD","59","-51.6%","$263,658","4.9%","52.8%","9,281"
"Boyd, NE","17","-88.7%","$130,808","-1.0%","-20.0%","1,704"
"Hamilton, IA","37","-53.6%","$162,836","8.1%","30.5%","14,893"
"Hamilton, NE","45","23.6%","$279,260","5.5%","75.4%","9,438"
"Keya Paha, NE","37","7.2%","$267,962","14.3%","87.4%","939"
"Winona, MN","31","-6.0%","$275,506","5.9%","-36.0%","49,705"
"Fayette, IA","46","-26.4%","$145,170","4.5%","-30.0%","19,393"
"Tama, IA","53","110.0%","$164,254","5.1%","0.5%","16,982"
"Poweshiek, IA","51","-16.3%","$203,808","5.1%","10.2%","18,582"
"Worth, IA","40","-13.9%","$180,560","6.4%","30.0%","7,380"
"Adair, IA","57","119.2%","$175,169","3.7%","25.2%","7,471"
"Guthrie, IA","42","-31.4%","$244,541","4.4%","21.4%","10,646"
"Shelby, IA","41","-38.5%","$203,010","7.6%","24.5%","11,757"
"Jefferson, IA","47","-50.9%","$172,036","1.9%","42.4%","15,676"
"Osceola, IA","26","-61.7%","$155,220","3.5%","-5.2%","6,114"
"Thurston, NE","187","249.5%","$161,270","2.8%","55.5%","6,666"
"McCook, SD","38","108.2%","$274,101","7.1%","20.6%","5,732"
"Merrick, NE","54","28.1%","$222,730","7.5%","9.0%","7,696"
"Whiteside, IL","50","34.2%","$134,230","3.6%","-24.5%","55,192"
"Vernon, WI","50","41.8%","$246,428","-3.9%","-10.5%","30,915"
"Monroe, IA","48","-58.7%","$162,510","5.0%","50.7%","7,546"
"Monroe, WI","37","-6.3%","$251,772","4.7%","-11.5%","46,169"
"Warren, IA","52","0.0%","$316,070","2.3%","26.0%","53,484"
"Warren, IL","60","20.5%","$107,128","0.8%","-23.0%","16,576"
"Henderson, IL","43","-42.5%","$121,913","-0.4%","-10.0%","6,284"
"Scott, IA","44","3.5%","$236,306","2.8%","7.2%","174,270"
"Delaware, IA","54","-23.0%","$232,946","3.5%","53.2%","17,549"
"Houston, MN","47","46.8%","$309,660","7.4%","-29.3%","18,768"
"Linn, IA","43","14.6%","$229,889","2.9%","18.3%","228,972"
"Keokuk, IA","37","-50.8%","$144,939","-0.0%","18.5%","9,964"
"Mower, MN","42","58.4%","$194,712","4.5%","1.4%","40,069"
"Freeborn, MN","40","19.4%","$182,017","1.1%","10.0%","30,752"
"Winnebago, IA","56","15.4%","$150,835","5.4%","24.4%","10,648"
"Hancock, IA","62","75.8%","$178,160","7.0%","10.4%","10,718"
"Faribault, MN","65","22.6%","$147,952","7.3%","-40.9%","13,909"
"Steele, MN","40","53.4%","$294,260","4.4%","9.7%","37,413"
"Lyon, IA","125","36.9%","$237,731","8.0%","100.0%","12,087"
"Saunders, NE","38","-22.6%","$337,534","3.5%","23.8%","22,761"
"Minnehaha, SD","37","15.6%","$326,668","2.2%","-7.5%","206,930"
"Yankton, SD","38","36.9%","$278,725","3.4%","48.0%","23,379"
"Madison, IA","38","-23.2%","$329,555","4.9%","1.1%","16,760"
"Madison, NE","47","37.2%","$247,893","4.6%","48.6%","35,535"
"Miner, SD","261","605.4%","$197,790","11.7%","-30.4%","2,299"
"Wheeler, NE","159","467.8%","$255,262","6.6%","-41.6%","785"
"Lancaster, NE","37","7.2%","$293,748","2.7%","29.0%","326,716"
"Juneau, WI","40","-14.4%","$253,511","7.3%","22.4%","26,695"
"Clinton, IA","56","30.9%","$169,705","2.0%","-12.5%","46,383"
"Louisa, IA","43","-32.8%","$166,849","6.0%","36.5%","10,710"
"Winneshiek, IA","30","-6.9%","$302,514","6.7%","-18.1%","19,972"
"Mahaska, IA","43","56.3%","$182,991","4.5%","14.2%","22,045"
"Wright, IA","64","2.4%","$133,708","7.6%","21.2%","12,817"
"Boone, NE","73","25.8%","$280,768","7.5%","123.2%","5,366"
"Boone, IA","43","2.3%","$221,887","5.5%","3.8%","26,669"
"Dallas, IA","65","21.5%","$359,048","1.0%","23.3%","111,092"
"Wapello, IA","73","40.3%","$123,881","0.9%","24.6%","35,265"
"Union, SD","48","-15.0%","$347,970","2.4%","20.1%","16,916"
"Union, IA","80","-18.6%","$149,293","10.4%","-3.0%","12,038"
"Adams, IA","110","120.0%","$158,014","8.8%","18.5%","3,641"
"Montgomery, IA","84","136.6%","$136,089","2.7%","11.0%","10,254"
"Murray, MN","26","-52.7%","$234,805","5.1%","-2.7%","8,119"
"Woodbury, IA","40","-7.5%","$199,057","2.9%","-0.0%","105,951"
"Plymouth, IA","49","16.8%","$276,776","6.2%","3.9%","25,699"
"Rock, NE","13","-91.2%","$135,775","4.0%","-60.9%","1,335"
"Rock, MN","46","1.6%","$257,900","5.8%","6.4%","9,628"
"Pipestone, MN","40","30.0%","$185,792","5.3%","-15.4%","9,352"
"Dodge, MN","25","-36.3%","$321,487","3.0%","-26.5%","20,962"
"Dodge, NE","42","-25.9%","$234,527","2.7%","10.5%","37,146"
"Davison, SD","50","15.6%","$246,308","3.1%","43.9%","19,936"
"Greeley, NE","27","-57.5%","$200,512","6.8%","14.2%","2,211"
"Valley, NE","69","41.2%","$174,885","6.2%","218.1%","4,094"
"Garfield, NE","60","-64.9%","$218,246","15.1%","63.6%","1,797"
"Dawson, NE","92","-12.5%","$198,211","3.8%","7.5%","24,020"
"Dubuque, IA","46","-30.0%","$264,421","5.1%","4.4%","98,887"
"Chickasaw, IA","59","7.3%","$205,853","7.0%","2.5%","11,868"
"Grundy, IA","52","73.3%","$213,362","5.9%","37.9%","12,352"
"Kossuth, IA","63","-1.5%","$168,072","5.2%","27.0%","14,610"
"Calhoun, IA","43","-20.3%","$135,317","1.6%","24.0%","9,858"
"Sac, IA","71","15.1%","$156,659","4.3%","40.9%","9,759"
"Dickinson, IA","64","32.6%","$366,411","2.2%","1.4%","17,844"
"Crawford, WI","47","-27.0%","$226,958","6.6%","-33.3%","16,064"
"Crawford, IA","66","-46.4%","$177,444","5.1%","39.5%","16,289"
"Dakota, NE","43","-25.8%","$227,791","3.9%","29.5%","21,331"
"Bon Homme, SD","30","-30.6%","$181,346","-4.0%","3.2%","7,024"
"Holt, NE","50","-13.7%","$160,193","2.1%","12.3%","10,093"
"Brule, SD","54","-16.2%","$220,195","4.9%","-17.6%","5,261"
"Cass, IA","50","8.7%","$149,520","5.3%","52.1%","13,115"
"Cass, NE","31","-18.6%","$296,992","2.7%","18.7%","26,963"
"Lafayette, WI","42","4.3%","$235,002","5.1%","-20.0%","16,788"
"Rock Island, IL","40","12.6%","$154,562","1.1%","-28.6%","141,236"
"Grant, WI","57","23.9%","$216,879","2.7%","-35.6%","51,678"
"Muscatine, IA","53","15.2%","$188,206","2.0%","-5.2%","42,735"
"La Crosse, WI","32","-18.1%","$320,098","2.8%","-8.1%","120,486"
"Iowa, WI","48","22.2%","$335,520","3.6%","-8.7%","23,832"
"Iowa, IA","30","-33.3%","$222,204","6.8%","-6.3%","16,547"
"Olmsted, MN","50","21.9%","$343,070","2.3%","11.2%","164,784"
"Mitchell, IA","65","6.5%","$201,925","6.8%","-22.3%","10,548"
"Marshall, IA","47","22.8%","$183,743","2.3%","48.4%","39,971"
"Hardin, IA","66","64.7%","$134,854","-1.4%","10.9%","16,729"
"Des Moines, IA","47","0.5%","$140,129","1.5%","-7.6%","38,597"
"Clarke, IA","68","3.0%","$193,366","6.1%","-4.7%","9,690"
"Richland, WI","38","-56.8%","$259,647","9.7%","-6.2%","17,229"
"O'Brien, IA","66","43.4%","$175,514","8.3%","17.8%","14,103"
"Monona, IA","52","-44.6%","$155,243","3.4%","79.0%","8,619"
"Wayne, NE","40","-38.2%","$236,166","6.8%","4.9%","9,786"
"Colfax, NE","78","87.9%","$216,371","5.7%","106.0%","10,541"
"Pierce, NE","154","348.1%","$235,650","2.1%","23.8%","7,312"
"Sherman, NE","66","-38.0%","$187,324","8.1%","-2.0%","2,974"
"Mills, IA","38","7.8%","$277,889","4.0%","118.5%","14,563"
"York, NE","40","-8.5%","$222,936","4.1%","-14.1%","14,231"
"Sioux, IA","33","-26.2%","$294,433","5.3%","0.0%","35,984"
"Henry, IA","51","32.4%","$177,815","3.1%","52.1%","20,228"
"Henry, IL","45","19.2%","$159,272","2.5%","-50.8%","48,948"
"Jo Daviess, IL","66","40.4%","$249,559","6.7%","-28.6%","21,918"
"Mercer, IL","47","6.9%","$164,293","-4.2%","-0.7%","15,619"
"Knox, NE","89","94.5%","$156,981","-1.2%","12.0%","8,362"
"Knox, IL","40","15.1%","$104,929","-1.8%","-27.3%","49,294"
"Brown, NE","53","-21.6%","$145,748","11.6%","-24.2%","2,739"
"Allamakee, IA","40","11.1%","$234,603","6.6%","-26.7%","14,038"
"Buchanan, IA","50","-11.1%","$210,432","6.2%","16.2%","20,645"
"Fillmore, MN","40","-18.3%","$289,500","2.3%","24.2%","21,346"
"Bremer, IA","45","54.7%","$248,719","4.9%","-6.8%","25,118"
"Jasper, IA","37","-12.9%","$216,983","4.1%","39.9%","37,864"
"Franklin, IA","85","47.8%","$148,989","4.9%","5.7%","9,977"
"Watonwan, MN","60","50.9%","$173,588","8.6%","12.9%","11,169"
"Carroll, IL","43","-31.4%","$145,875","16.0%","-26.4%","15,621"
"Carroll, IA","56","16.6%","$199,169","5.9%","42.7%","20,677"
"Lucas, IA","61","-13.7%","$171,528","4.7%","135.7%","8,685"
"Pottawattamie, IA","29","-1.6%","$230,028","4.2%","22.2%","93,179"
"Cherokee, IA","57","-38.3%","$153,385","2.2%","-1.4%","11,587"
"Nobles, MN","55","10.5%","$230,811","3.4%","16.0%","22,067"
"Turner, SD","23","-29.1%","$302,560","10.1%","0.0%","8,772"
"Cedar, IA","58","60.8%","$246,045","6.3%","33.8%","18,427"
"Cedar, NE","94","-39.7%","$224,581","6.8%","-11.7%","8,344"
"Stanton, NE","67","16.5%","$251,238","2.4%","11.3%","5,835"
"Sanborn, SD","105","64.0%","$231,529","2.1%","-7.6%","2,370"
"Hall, NE","54","58.8%","$256,876","5.3%","40.4%","62,431"
"Lincoln, SD","37","-10.2%","$373,657","2.7%","-2.9%","73,238"
"Sauk, WI","50","-6.1%","$333,625","1.6%","1.1%","65,920"
"Jackson, MN","37","-56.2%","$216,642","7.0%","88.8%","9,964"
"Jackson, IA","48","-12.8%","$224,156","3.5%","-7.1%","19,429"
"Douglas, NE","36","7.4%","$290,602","1.3%","30.2%","589,540"
"Washington, IA","37","-7.5%","$224,359","4.6%","-16.9%","22,539"
"Washington, NE","38","-13.1%","$391,931","3.8%","27.8%","20,989"
"Benton, IA","52","14.2%","$263,688","4.7%","22.2%","25,698"
"Black Hawk, IA","44","-24.7%","$186,366","4.7%","-3.5%","130,471"
"Floyd, IA","53","-16.0%","$150,995","3.9%","-17.4%","15,502"
"Story, IA","43","8.1%","$270,062","3.4%","-5.0%","98,566"
"Polk, NE","44","-33.0%","$210,105","7.8%","-38.4%","5,209"
"Polk, IA","45","1.1%","$282,645","2.5%","26.6%","505,255"
"Emmet, IA","39","185.1%","$142,439","1.8%","-33.3%","9,316"
"Audubon, IA","98","-27.6%","$153,651","6.4%","92.9%","5,622"
"Cottonwood, MN","71","-18.6%","$160,461","0.4%","5.3%","11,458"
"Buena Vista, IA","44","2.3%","$183,224","1.5%","41.1%","20,684"
"Ida, IA","75","33.3%","$141,756","6.0%","31.1%","6,944"
"Burt, NE","38","-35.8%","$175,792","9.0%","50.4%","6,730"
"Cuming, NE","82","123.1%","$246,142","6.7%","1.8%","8,976"
"Dixon, NE","30","-43.9%","$187,767","-0.8%","-13.8%","5,561"
"Clay, IA","68","-0.3%","$182,168","2.5%","-15.2%","16,446"
"Clay, SD","45","15.5%","$275,840","7.9%","24.4%","15,133"
"Lake, SD","45","-13.4%","$307,160","7.4%","33.3%","11,052"
"Hutchinson, SD","63","5.0%","$210,153","2.4%","19.6%","7,393"
"Howard, IA","62","35.9%","$186,562","5.6%","-30.7%","9,459"
"Howard, NE","47","-34.4%","$263,994","4.3%","65.0%","6,492"
"Seward, NE","30","-32.9%","$296,611","2.8%","34.8%","17,636"
"Buffalo, NE","24","-36.0%","$294,587","3.3%","-42.8%","50,323"
"Custer, NE","96","62.7%","$161,967","0.7%","57.2%","10,544"
"Tripp, SD","181","250.4%","$306,306","2.3%","138.5%","5,607"
"Jones, IA","42","-10.6%","$222,548","3.7%","-6.4%","20,799"
"Elk, PA","49","1.5%","$114,574","2.0%","-37.7%","30,703"
"Warren, PA","63","21.1%","$130,067","-2.3%","-38.6%","38,174"
"Chautauqua, NY","44","20.5%","$165,214","5.7%","-31.2%","124,891"
"Venango, PA","61","-25.5%","$129,273","4.7%","-29.8%","50,096"
"Armstrong, PA","54","40.2%","$150,470","0.7%","-26.8%","64,074"
"Summit, OH","35","30.8%","$216,873","4.8%","-12.2%","535,733"
"Sandusky, OH","31","18.0%","$180,103","5.1%","-28.7%","58,770"
"Lapeer, MI","43","34.3%","$295,632","2.7%","-7.3%","88,977"
"Bay, MI","26","-24.0%","$173,165","3.4%","-19.8%","102,500"
"Gladwin, MI","35","18.6%","$177,124","3.7%","-5.5%","25,543"
"Mecosta, MI","49","14.6%","$213,849","1.0%","-7.5%","40,321"
"LaGrange, IN","33","-13.7%","$318,158","4.1%","11.4%","40,596"
"Elkhart, IN","34","7.9%","$249,422","4.5%","15.0%","206,409"
"Oceana, MI","45","40.6%","$245,242","-1.8%","-5.0%","26,788"
"Kankakee, IL","38","6.2%","$212,314","4.1%","-7.9%","105,940"
"Kenosha, WI","26","-4.5%","$312,977","5.7%","-25.1%","167,488"
"Fond du Lac, WI","39","-5.4%","$275,029","5.5%","5.3%","103,948"
"McHenry, IL","31","21.5%","$354,172","6.2%","-36.4%","312,800"
"Dodge, WI","36","14.5%","$303,670","6.2%","-22.1%","88,231"
"DeKalb, IN","32","-24.7%","$239,911","6.6%","12.6%","43,584"
"DeKalb, IL","37","4.9%","$283,689","5.8%","-28.9%","100,288"
"Dane, WI","39","18.1%","$463,352","4.4%","-2.4%","575,347"
"Mercer, PA","63","10.5%","$171,814","3.2%","-6.0%","108,503"
"Clarion, PA","49","4.2%","$138,863","11.5%","-16.2%","37,297"
"Ashland, OH","25","49.2%","$226,616","6.0%","-8.4%","52,296"
"Richland, OH","37","52.0%","$182,880","5.5%","11.3%","125,064"
"Shiawassee, MI","42","32.8%","$204,595","1.5%","-13.5%","68,025"
"Paulding, OH","59","25.1%","$148,560","3.7%","41.6%","18,800"
"Eaton, MI","34","51.1%","$256,962","3.0%","-12.9%","108,820"
"Osceola, MI","49","38.0%","$188,502","5.3%","20.8%","23,122"
"Van Buren, MI","47","49.2%","$260,527","1.5%","-0.4%","75,798"
"LaPorte, IN","47","-6.9%","$246,271","5.5%","9.5%","111,706"
"Huntington, IN","40","21.2%","$200,416","4.9%","-15.4%","36,757"
"Wabash, IN","32","-28.0%","$183,427","6.5%","-13.5%","30,901"
"Manitowoc, WI","33","-9.7%","$251,608","8.1%","15.7%","81,331"
"Calumet, WI","36","-34.5%","$359,967","5.6%","-6.0%","52,626"
"Waukesha, WI","27","-6.9%","$479,931","4.2%","-16.6%","412,591"
"Kendall, IL","29","7.5%","$386,213","6.2%","-41.4%","139,976"
"Green, WI","86","50.2%","$328,333","5.4%","-6.4%","37,036"
"Newton, IN","75","55.4%","$219,268","5.2%","1.1%","13,859"
"Iroquois, IL","51","-3.8%","$147,510","6.0%","-23.2%","26,746"
"LaSalle, IL","44","7.3%","$181,396","4.6%","-20.9%","108,309"
"Cattaraugus, NY","62","-4.2%","$151,579","4.1%","-25.5%","75,600"
"Ashtabula, OH","42","26.3%","$168,506","7.7%","-14.9%","96,845"
"Cuyahoga, OH","40","11.1%","$209,901","5.4%","-8.6%","1,233,088"
"Medina, OH","32","6.6%","$339,118","5.2%","-26.4%","184,042"
"Mahoning, OH","50","13.6%","$165,265","7.6%","1.4%","225,596"
"St. Clair, MI","38","18.7%","$249,889","2.7%","-12.5%","159,874"
"Hillsdale, MI","55","77.4%","$196,382","2.7%","10.9%","45,658"
"Calhoun, MI","43","38.7%","$178,179","3.7%","-14.5%","133,366"
"Montcalm, MI","34","0.0%","$223,226","0.8%","1.5%","68,154"
"Ionia, MI","32","-8.5%","$244,043","3.1%","-7.4%","66,262"
"Kent, MI","27","31.7%","$346,026","3.6%","4.7%","661,354"
"Newaygo, MI","38","4.1%","$244,202","2.1%","27.3%","50,414"
"Berrien, MI","44","9.3%","$262,626","1.1%","-9.0%","152,261"
"Hancock, OH","33","22.2%","$231,961","3.7%","8.0%","74,704"
"Racine, WI","30","9.0%","$299,676","5.8%","-20.7%","196,613"
"Boone, IL","36","18.3%","$268,653","8.0%","-44.5%","53,316"
"Bureau, IL","44","30.3%","$137,796","4.3%","-47.2%","33,027"
"McKean, PA","74","5.7%","$107,375","1.6%","-40.5%","40,149"
"Niagara, NY","38","37.6%","$231,647","4.6%","-9.6%","209,457"
"Forest, PA","91","94.6%","$119,386","0.5%","-25.4%","6,785"
"Clearfield, PA","46","-7.5%","$131,954","1.6%","-31.7%","77,090"
"Butler, PA","37","-11.3%","$332,151","2.4%","-13.8%","198,413"
"Lawrence, PA","65","-2.9%","$149,764","2.8%","-12.8%","84,472"
"Erie, NY","26","6.2%","$281,070","4.0%","-8.7%","946,147"
"Erie, PA","36","-0.6%","$205,227","6.1%","-52.2%","267,571"
"Erie, OH","43","-27.7%","$227,396","7.6%","-17.2%","74,035"
"Oakland, MI","31","19.2%","$361,826","3.1%","-15.1%","1,270,426"
"Lucas, OH","32","17.4%","$166,710","5.3%","-10.7%","425,484"
"Washtenaw, MI","32","20.7%","$414,518","2.6%","-5.7%","365,536"
"Livingston, IL","39","-20.8%","$149,509","5.6%","-46.3%","35,659"
"Livingston, MI","30","-16.6%","$390,971","3.5%","-15.8%","196,757"
"Saginaw, MI","44","35.3%","$163,063","4.0%","8.8%","187,782"
"Jackson, MI","37","15.8%","$216,271","2.9%","-23.6%","159,424"
"Ingham, MI","33","8.2%","$218,472","6.2%","-17.4%","284,637"
"Clare, MI","45","12.5%","$146,739","5.3%","-24.8%","31,109"
"Steuben, IN","50","2.5%","$304,599","4.9%","14.4%","34,648"
"Allegan, MI","41","34.4%","$328,433","4.4%","-7.7%","121,939"
"Cass, MI","52","1.9%","$258,814","2.2%","18.4%","51,606"
"Wyandot, OH","58","70.5%","$182,285","2.8%","18.3%","21,699"
"Porter, IN","45","12.5%","$325,798","2.7%","15.7%","175,335"
"Will, IL","30","13.2%","$365,345","4.1%","-28.8%","700,728"
"Adams, WI","50","-6.1%","$245,841","8.2%","-5.1%","20,928"
"Ford, IL","59","116.5%","$145,878","5.1%","-70.1%","13,396"
"Sanilac, MI","60","25.0%","$214,937","1.2%","-12.2%","40,574"
"Wayne, OH","33","50.0%","$253,498","5.8%","22.9%","116,510"
"Wayne, MI","40","-6.9%","$176,311","4.1%","7.6%","1,751,169"
"Monroe, MI","32","-20.0%","$256,222","2.7%","-7.2%","155,045"
"Lenawee, MI","39","4.7%","$237,158","-0.2%","-24.2%","97,520"
"Defiance, OH","31","-6.8%","$179,272","7.5%","-2.5%","38,258"
"Williams, OH","37","17.4%","$171,571","4.7%","14.5%","36,862"
"Branch, MI","45","-16.6%","$198,800","-1.7%","19.7%","44,914"
"Noble, IN","49","14.1%","$239,534","5.7%","30.1%","47,417"
"St. Joseph, IN","40","15.9%","$216,614","4.8%","8.2%","272,848"
"St. Joseph, MI","43","29.3%","$202,181","1.9%","14.8%","60,870"
"Kalamazoo, MI","35","-7.8%","$268,970","2.6%","5.7%","262,215"
"Muskegon, MI","39","-13.3%","$236,182","3.3%","20.8%","176,564"
"Van Wert, OH","44","1.1%","$177,101","5.7%","-26.8%","28,824"
"Miami, IN","49","59.3%","$149,493","5.8%","3.5%","35,772"
"Washington, WI","33","3.1%","$414,204","4.6%","-7.3%","138,168"
"Kane, IL","28","13.1%","$364,275","5.4%","-42.0%","514,982"
"Grundy, IL","36","34.5%","$310,532","4.3%","-34.3%","52,920"
"Winnebago, IL","34","78.9%","$191,595","8.3%","-30.6%","280,922"
"Winnebago, WI","32","-7.3%","$291,197","6.5%","-20.2%","171,735"
"Green Lake, WI","43","18.6%","$282,589","5.4%","-22.2%","19,165"
"Jasper, IN","57","78.1%","$286,118","6.0%","7.1%","33,198"
"Marshall, IN","33","-40.5%","$248,265","3.1%","-9.8%","46,225"
"Marshall, IL","48","5.5%","$134,801","4.0%","-60.7%","11,715"
"Portage, OH","36","-5.8%","$267,466","6.2%","-11.1%","162,665"
